wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;9;0;3;0;t0;6;0;0;0;0;0
dolnoœl¹skie;3545377;12808;1444897;726;t02;1690233;1333;17065;40;393182;10709
kujawsko-pomorskie;2395355;9091;971443;547;t04;1143452;1054;11350;86;269110;7404
lubelskie;2086998;6723;851632;644;t06;998962;824;13878;39;222526;5216
lubuskie;1242641;3917;495677;254;t08;603029;648;5164;16;138771;2999
³ódzkie;2912925;9493;1199074;578;t10;1380397;1032;18197;50;315257;7833
ma³opolskie;3715091;11761;1540722;835;t12;1788512;1311;12278;27;373579;9588
mazowieckie;7018686;26000;2862262;1762;t14;3318146;2286;39977;69;798301;21883
opolskie;1036801;3222;428305;274;t16;497255;457;3905;9;107336;2482
podkarpackie;1891422;5392;779603;443;t18;918418;815;7879;43;185522;4091
podlaskie;1280339;4152;525566;429;t20;614957;580;5225;18;134591;3125
pomorskie;2921379;11244;1196758;719;t22;1387133;1221;13625;33;323863;9271
œl¹skie;5260053;17875;2151853;1097;t24;2503795;1775;19078;81;585327;14922
œwiêtokrzyskie;1269085;3710;521957;229;t26;613283;432;6330;13;127515;3036
warmiñsko-mazurskie;1523716;5123;626966;405;t28;730516;684;9879;1;156355;4033
wielkopolskie;4228657;13918;1754294;1102;t30;2013891;1648;20323;43;440149;11125
zachodniopomorskie;2075788;8398;833335;478;t32;994795;882;10607;19;237051;7019
ca³y kraj;44404322;152827;18184347;10522;t00;21196780;16982;214760;587;4808435;124736
