wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;14;2;0;0;t0;7;2;0;0;7;0
dolnoœl¹skie;4211405;7522;1526898;1999;t02;1786070;923;16142;39;882295;4561
kujawsko-pomorskie;2854769;4276;1032141;1143;t04;1211810;444;11624;29;599194;2660
lubelskie;2435836;4329;901621;1274;t06;1047970;489;13041;13;473204;2553
lubuskie;1470373;2489;528417;654;t08;640658;299;5168;21;296130;1515
³ódzkie;3443348;5711;1268220;1612;t10;1456255;652;18038;27;700835;3420
ma³opolskie;4390947;8351;1631889;2046;t12;1886667;793;13227;26;859164;5486
mazowieckie;8354580;12489;3044876;3245;t14;3526147;1263;38938;105;1744619;7876
opolskie;1230159;1967;455410;570;t16;526045;277;4808;15;243896;1105
podkarpackie;2170574;3143;822860;1032;t18;963581;359;8022;29;376111;1723
podlaskie;1482655;2123;556309;656;t20;646350;256;5752;9;274244;1202
pomorskie;3487735;6347;1272128;1712;t22;1479369;639;14333;46;721905;3950
œl¹skie;6217619;10426;2268538;2485;t24;2638616;1052;19589;84;1290876;6805
œwiêtokrzyskie;1498472;2367;551409;603;t26;645766;232;6158;45;295139;1487
warmiñsko-mazurskie;1829578;3781;669198;837;t28;779586;448;10091;12;370703;2484
wielkopolskie;5092595;10325;1878463;2453;t30;2153522;1005;19474;67;1041136;6800
zachodniopomorskie;2454735;4297;881433;1060;t32;1051911;461;10316;4;511075;2772
ca³y kraj;52625394;89945;19289810;23381;t00;22440330;9594;214721;571;10680533;56399
