data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2174;0
2020-12-28;4379;0
2020-12-29;10007;0
2020-12-30;20328;1
2020-12-31;10582;0
2021-01-01;1351;3
2021-01-02;2239;0
2021-01-03;648;0
2021-01-04;40545;1
2021-01-05;55215;2
2021-01-06;18731;0
2021-01-07;30353;0
2021-01-08;11814;1
2021-01-09;2264;0
2021-01-10;994;2
2021-01-11;47532;3
2021-01-12;63316;0
2021-01-13;55019;1
2021-01-14;46412;1
2021-01-15;26175;0
2021-01-16;20936;17
2021-01-17;12064;432
2021-01-18;28261;2929
2021-01-19;49456;8100
2021-01-20;51013;14432
2021-01-21;52967;14732
2021-01-22;38160;5244
2021-01-23;16734;1360
2021-01-24;5338;556
2021-01-25;73019;29440
2021-01-26;132496;48194
2021-01-27;104159;26508
2021-01-28;89281;29399
2021-01-29;43671;16098
2021-01-30;16269;3116
2021-01-31;8682;1387
2021-02-01;57004;33251
2021-02-02;114479;57223
2021-02-03;121637;55841
2021-02-04;107086;51420
2021-02-05;51898;29508
2021-02-06;24566;15638
2021-02-07;16322;10114
2021-02-08;33081;11730
2021-02-09;89819;20152
2021-02-10;113042;44688
2021-02-11;111494;58664
2021-02-12;75610;43566
2021-02-13;35484;15120
2021-02-14;14697;4860
2021-02-15;36229;11696
2021-02-16;71571;33694
2021-02-17;153984;84839
2021-02-18;173954;94172
2021-02-19;103126;50214
2021-02-20;36012;7697
2021-02-21;16042;3608
2021-02-22;43316;4117
2021-02-23;71790;20427
2021-02-24;160828;76962
2021-02-25;174881;90585
2021-02-26;103612;45612
2021-02-27;44712;11841
2021-02-28;17990;5785
2021-03-01;46169;5404
2021-03-02;82336;21682
2021-03-03;156821;67962
2021-03-04;173968;85856
2021-03-05;108716;44627
2021-03-06;49690;12060
2021-03-07;17962;5385
2021-03-08;34595;3679
2021-03-09;63902;8466
2021-03-10;143287;42972
2021-03-11;162759;68310
2021-03-12;94986;39479
2021-03-13;29975;6731
2021-03-14;11871;3038
2021-03-15;25792;3560
2021-03-16;47801;10722
2021-03-17;133940;43849
2021-03-18;155117;66475
2021-03-19;89279;38850
2021-03-20;29759;10272
2021-03-21;10656;3077
2021-03-22;51915;3972
2021-03-23;117896;19894
2021-03-24;191982;50067
2021-03-25;216251;71683
2021-03-26;162002;40616
2021-03-27;92042;15009
2021-03-28;35723;6926
2021-03-29;80118;9870
2021-03-30;117537;16077
2021-03-31;190756;20663
2021-04-01;204844;19435
2021-04-02;152752;11265
2021-04-03;36337;2755
2021-04-04;3327;351
2021-04-05;3863;526
2021-04-06;125946;8120
2021-04-07;220015;7342
2021-04-08;258264;5820
2021-04-09;220390;4701
2021-04-10;154275;4172
2021-04-11;44559;789
2021-04-12;106161;7017
2021-04-13;186660;23282
2021-04-14;254346;53826
2021-04-15;267871;59200
2021-04-16;201205;28299
2021-04-17;140664;11953
2021-04-18;39732;4029
2021-04-19;109416;13121
2021-04-20;202820;34282
2021-04-21;282714;74434
2021-04-22;306043;79341
2021-04-23;260017;46786
2021-04-24;206027;24491
2021-04-25;55943;9277
2021-04-26;139571;30824
2021-04-27;253797;58724
2021-04-28;344984;99331
2021-04-29;387766;108894
2021-04-30;357691;74955
2021-05-01;121906;15600
2021-05-02;59353;10166
2021-05-03;47119;5528
2021-05-04;234328;63164
2021-05-05;398416;122534
2021-05-06;423739;141742
2021-05-07;378772;124576
2021-05-08;258116;63504
2021-05-09;82377;14891
2021-05-10;187926;52438
2021-05-11;320799;109725
2021-05-12;433718;180830
2021-05-13;441043;193476
2021-05-14;372901;152149
2021-05-15;276985;110437
2021-05-16;90132;29614
2021-05-17;148761;50167
2021-05-18;330533;125782
2021-05-19;445081;185661
2021-05-20;444349;201018
2021-05-21;355947;155147
2021-05-22;240900;111090
2021-05-23;67934;35580
2021-05-24;135334;76897
2021-05-25;305612;158493
2021-05-26;396367;212106
2021-05-27;386450;232264
2021-05-28;349264;202528
2021-05-29;278031;151810
2021-05-30;91771;44156
2021-05-31;167444;98508
2021-06-01;464662;270220
2021-06-02;649354;400824
2021-06-03;140270;64631
2021-06-04;429050;256777
2021-06-05;271196;120485
2021-06-06;98882;41093
2021-06-07;202190;127421
2021-06-08;399336;242750
2021-06-09;504679;302580
2021-06-10;481567;297412
2021-06-11;422280;266104
2021-06-12;317409;182228
2021-06-13;101896;58637
2021-06-14;212488;167950
2021-06-15;372922;263976
2021-06-16;430685;280011
2021-06-17;398551;270963
2021-06-18;321470;218387
2021-06-19;217883;134602
2021-06-20;65952;43665
2021-06-21;166568;136459
2021-06-22;331799;255650
2021-06-23;380305;277332
2021-06-24;148655;112646
