wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;11;0;1;0;t0;6;0;0;0;4;0
dolnoœl¹skie;3958921;2324;1489066;69;t02;1753420;288;14956;0;701479;1967
kujawsko-pomorskie;2677733;1238;1004081;33;t04;1188008;303;11138;0;474506;902
lubelskie;2303430;505;881984;17;t06;1031169;103;12475;0;377802;385
lubuskie;1385808;874;514565;31;t08;628123;90;4901;9;238219;744
³ódzkie;3243659;1465;1236889;67;t10;1430542;306;16824;0;559404;1092
ma³opolskie;4140628;2241;1592269;316;t12;1855882;262;12223;101;680254;1562
mazowieckie;7876643;5207;2967253;423;t14;3465325;971;36323;2;1407742;3811
opolskie;1162748;550;444404;31;t16;516784;77;4130;1;197430;441
podkarpackie;2072767;296;806210;19;t18;949664;90;7345;0;309548;187
podlaskie;1411478;202;545034;8;t20;635672;21;5267;0;225505;173
pomorskie;3275064;2134;1236047;114;t22;1449864;363;13374;1;575779;1656
œl¹skie;5862585;2917;2214078;123;t24;2593057;587;18183;23;1037267;2184
œwiêtokrzyskie;1409916;1003;538720;48;t26;633812;208;5448;3;231936;744
warmiñsko-mazurskie;1706733;594;650359;21;t28;761541;72;9380;2;285453;499
wielkopolskie;4753442;3312;1823009;147;t30;2108072;625;18361;4;804000;2536
zachodniopomorskie;2317215;899;860620;59;t32;1033167;164;9866;3;413562;673
ca³y kraj;49558781;25761;18804589;1526;t00;22034108;4530;200194;149;8519890;19556
