wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;15;0;3;0;t0;12;0;0;0;0;0
dolnoœl¹skie;3702676;11986;1457962;1490;t02;1716213;1894;15222;11;513279;8591
kujawsko-pomorskie;2498834;9335;980819;1385;t04;1161990;1427;10423;66;345602;6457
lubelskie;2169363;5359;862810;989;t06;1012194;988;12346;10;282013;3372
lubuskie;1296126;3863;501457;629;t08;613776;510;4794;9;176099;2715
³ódzkie;3036203;8966;1210431;1368;t10;1400781;1619;16838;21;408153;5958
ma³opolskie;3866772;13335;1555672;1899;t12;1817797;2354;11609;16;481694;9066
mazowieckie;7338986;25176;2891008;3131;t14;3382846;4444;36801;34;1028331;17567
opolskie;1084393;3642;433289;598;t16;505507;719;3625;9;141972;2316
podkarpackie;1959528;5270;788429;1210;t18;931427;868;7317;25;232355;3167
podlaskie;1331567;3625;532521;719;t20;623526;501;5119;5;170401;2400
pomorskie;3058152;11706;1207584;1319;t22;1412135;1778;12862;115;425571;8494
œl¹skie;5476868;19189;2169781;2357;t24;2539821;2982;17166;69;750100;13781
œwiêtokrzyskie;1320633;3621;527495;630;t26;621494;510;5735;6;165909;2475
warmiñsko-mazurskie;1592388;4220;634225;605;t28;743232;833;9634;3;205297;2779
wielkopolskie;4412166;14959;1773232;2355;t30;2054268;2970;18501;47;566165;9587
zachodniopomorskie;2170523;7912;841724;964;t32;1011263;1382;9707;21;307829;5545
ca³y kraj;46315193;152164;18368442;21648;t00;21548282;25779;197699;467;6200770;104270
