wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;44646;8824;3484;346;
dolnośląskie;1050915;27821;268805;8405;t02
kujawsko-pomorskie;634809;19612;154079;5735;t04
lubelskie;675603;19085;184765;6586;t06
lubuskie;335607;12001;84875;4275;t08
łódzkie;825501;25590;209470;7792;t10
małopolskie;1015937;27754;254849;9093;t12
mazowieckie;1923578;49362;489768;18470;t14
opolskie;316927;12171;80123;2774;t16
podkarpackie;649372;17503;175770;7272;t18
podlaskie;413537;11113;109254;3209;t20
pomorskie;830307;26557;208169;7093;t22
śląskie;1438499;47751;336120;13549;t24
świętokrzyskie;357597;10714;88261;3217;t26
warmińsko-mazurskie;436405;11280;112268;4170;t28
wielkopolskie;1086363;32090;267637;10643;t30
zachodniopomorskie;579224;17517;132358;4968;t32
cały kraj;12614827;376745;3160055;117597;t00
