wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;20;0;4;0;t0;5;0;0;0;11;0
dolnoœl¹skie;4292410;1695;1549678;392;t02;1794875;193;16638;14;931219;1096
kujawsko-pomorskie;2907993;1044;1047819;259;t04;1217227;101;11899;0;631048;684
lubelskie;2473396;932;912098;274;t06;1052544;98;13307;4;495447;556
lubuskie;1496628;564;536493;154;t08;643649;70;5326;0;311160;340
³ódzkie;3501781;1240;1285505;340;t10;1462970;127;18481;9;734825;764
ma³opolskie;4475877;2153;1653345;447;t12;1894744;170;13899;9;913889;1527
mazowieckie;8510436;3787;3089772;968;t14;3545054;338;39891;37;1835719;2444
opolskie;1252436;643;462072;137;t16;528489;51;4968;10;256907;445
podkarpackie;2201251;725;831155;179;t18;967480;111;8291;0;394325;435
podlaskie;1504668;486;562587;107;t20;649297;44;5989;7;286795;328
pomorskie;3559378;1745;1292511;442;t22;1487766;159;14658;6;764443;1138
œl¹skie;6329274;2723;2297925;543;t24;2650960;287;20222;14;1360167;1879
œwiêtokrzyskie;1524761;726;558975;256;t26;648769;64;6303;1;310714;405
warmiñsko-mazurskie;1868794;853;680392;312;t28;784392;75;10418;1;393592;465
wielkopolskie;5198674;2322;1909321;664;t30;2164690;231;19916;23;1104747;1404
zachodniopomorskie;2499138;1000;894127;272;t32;1056927;84;10476;2;537608;642
ca³y kraj;53596915;22638;19563779;5746;t00;22549838;2203;220682;137;11262616;14552
