wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;26;0;11;0;t0;5;0;0;0;10;0
dolnoœl¹skie;4267278;4733;1542848;1345;t02;1792275;500;16501;21;915654;2867
kujawsko-pomorskie;2891869;2788;1043254;920;t04;1215660;284;11820;25;621135;1559
lubelskie;2462156;2716;908746;753;t06;1051177;287;13251;12;488982;1664
lubuskie;1488218;1619;533832;483;t08;642692;150;5274;9;306420;977
³ódzkie;3483587;3738;1279480;1167;t10;1461019;422;18390;30;724698;2119
ma³opolskie;4448894;5889;1647066;1430;t12;1892101;453;13725;14;896002;3992
mazowieckie;8461360;7719;3076964;2177;t14;3539012;761;39509;49;1805875;4732
opolskie;1245387;1464;460043;502;t16;527691;145;4940;6;252713;811
podkarpackie;2191428;1845;828500;516;t18;966179;227;8236;13;388513;1089
podlaskie;1497808;1290;560681;402;t20;648312;160;5904;9;282911;719
pomorskie;3534638;3960;1285175;1037;t22;1485140;360;14554;25;749769;2538
œl¹skie;6291255;7315;2287488;1740;t24;2646983;725;19960;34;1336824;4816
œwiêtokrzyskie;1517052;1347;556620;378;t26;647875;135;6277;10;306280;824
warmiñsko-mazurskie;1856513;2136;676504;630;t28;783018;227;10327;4;386664;1275
wielkopolskie;5166927;6035;1900168;1817;t30;2160863;507;19843;36;1086053;3675
zachodniopomorskie;2485175;2533;890241;706;t32;1055418;251;10433;12;529083;1564
ca³y kraj;53289571;57127;19477621;16003;t00;22515420;5594;218944;309;11077586;35221
