wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
woj_puste;pow_puste;12;0;4;0;t00;8;0;0;0;0;0
dolnoœl¹skie;boles³awiecki;84977;362;34992;21;t0201;43593;71;225;0;6167;270
dolnoœl¹skie;dzier¿oniowski;81566;431;34344;12;t0202;39436;39;334;1;7452;379
dolnoœl¹skie;g³ogowski;79899;556;31705;40;t0203;38673;69;169;0;9352;447
dolnoœl¹skie;górowski;30765;71;12708;3;t0204;15520;8;314;11;2223;49
dolnoœl¹skie;jaworski;46458;453;18611;21;t0205;23152;64;32;0;4663;368
dolnoœl¹skie;jeleniogórski;60711;226;24831;21;t0206;29838;22;418;1;5624;182
dolnoœl¹skie;kamiennogórski;38137;183;15945;5;t0207;18226;9;99;0;3867;169
dolnoœl¹skie;k³odzki;152932;893;63535;43;t0208;73507;103;798;0;15092;747
dolnoœl¹skie;legnicki;50594;201;20420;2;t0209;25890;17;293;0;3991;182
dolnoœl¹skie;lubañski;35986;265;13557;37;t0210;18911;29;91;0;3427;199
dolnoœl¹skie;lubiñski;146828;1121;62329;67;t0211;69231;134;839;1;14429;919
dolnoœl¹skie;lwówecki;49102;90;20529;3;t0212;24260;8;365;0;3948;79
dolnoœl¹skie;milicki;40118;211;17142;1;t0213;19379;33;89;0;3508;177
dolnoœl¹skie;oleœnicki;122070;604;49082;44;t0214;60117;87;698;40;12173;433
dolnoœl¹skie;o³awski;50493;46;22004;0;t0215;24991;32;97;0;3401;14
dolnoœl¹skie;polkowicki;48394;311;19233;11;t0216;25106;42;37;0;4018;258
dolnoœl¹skie;strzeliñski;43229;326;18381;26;t0217;21029;26;378;0;3441;274
dolnoœl¹skie;œredzki;27561;173;11187;7;t0218;12955;25;609;18;2810;123
dolnoœl¹skie;œwidnicki;123680;495;50197;17;t0219;59930;66;898;0;12655;412
dolnoœl¹skie;trzebnicki;69401;313;30381;4;t0220;32733;26;294;0;5993;283
dolnoœl¹skie;wa³brzyski;37035;120;15953;4;t0221;17400;4;268;0;3414;112
dolnoœl¹skie;wo³owski;49729;259;19943;6;t0222;25453;25;546;2;3787;226
dolnoœl¹skie;wroc³awski;120879;429;51557;29;t0223;57486;40;1219;11;10617;349
dolnoœl¹skie;z¹bkowicki;66446;190;27338;8;t0224;32239;28;439;0;6430;154
dolnoœl¹skie;zgorzelecki;70640;350;28733;24;t0225;35730;103;455;4;5722;219
dolnoœl¹skie;z³otoryjski;41608;215;16584;7;t0226;20564;20;232;0;4228;188
dolnoœl¹skie;Jelenia Góra;108911;504;45670;19;t0261;50395;43;477;1;12369;441
dolnoœl¹skie;Legnica;107513;479;44875;19;t0262;51898;64;437;1;10303;395
dolnoœl¹skie;Wroc³aw;1228892;4227;515744;147;t0264;593370;388;5179;38;114599;3654
dolnoœl¹skie;Wa³brzych;238793;642;101972;32;t0265;117956;65;824;0;18041;545
kujawsko-pomorskie;aleksandrowski;144243;492;64615;10;t0401;71179;35;613;0;7836;447
kujawsko-pomorskie;brodnicki;85334;620;36205;25;t0402;41535;93;578;1;7016;501
