wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;10388;2;1290;0;
dolnośląskie;649943;5994;180043;9;t02
kujawsko-pomorskie;378573;973;100885;25;t04
lubelskie;431598;1142;123464;50;t06
lubuskie;202383;1273;51221;10;t08
łódzkie;504306;2257;143051;6;t10
małopolskie;618390;3012;169347;35;t12
mazowieckie;1198746;8885;326582;106;t14
opolskie;188296;198;53726;120;t16
podkarpackie;405315;2264;111044;61;t18
podlaskie;256316;869;73205;21;t20
pomorskie;497753;928;143413;249;t22
śląskie;855341;6246;225183;40;t24
świętokrzyskie;217657;523;59558;0;t26
warmińsko-mazurskie;277589;1271;74352;0;t28
wielkopolskie;659732;3914;180650;8;t30
zachodniopomorskie;335291;2746;89535;0;t32
cały kraj;7687617;42497;2106549;740;t00
