wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;8;0;0;0;t0;4;0;0;0;4;0
dolnoœl¹skie;4051837;1796;1498974;45;t02;1766367;217;15288;1;771208;1533
kujawsko-pomorskie;2737911;1179;1010216;186;t04;1196770;231;11395;1;519530;761
lubelskie;2352025;568;886710;62;t06;1037800;82;12672;0;414843;424
lubuskie;1414061;563;517941;36;t08;632600;55;5006;22;258514;450
³ódzkie;3317170;1423;1244703;85;t10;1440701;246;17271;9;614495;1083
ma³opolskie;4230529;1744;1601503;159;t12;1867951;274;12520;3;748555;1308
mazowieckie;8057172;4158;2990190;612;t14;3489329;531;37468;11;1540185;3004
opolskie;1188470;656;447141;86;t16;520540;87;4401;0;216388;483
podkarpackie;2110164;195;810275;36;t18;955460;27;7540;0;336889;132
podlaskie;1438552;263;548092;8;t20;639857;36;5383;0;245220;219
pomorskie;3351367;1456;1244899;168;t22;1461836;304;13710;0;630922;984
œl¹skie;5995710;2183;2227690;218;t24;2612524;261;18645;3;1136851;1701
œwiêtokrzyskie;1441080;775;541545;86;t26;638109;114;5765;0;255661;575
warmiñsko-mazurskie;1748940;579;654906;32;t28;767979;50;9596;0;316459;497
wielkopolskie;4870231;2605;1836164;190;t30;2125165;295;18666;9;890236;2111
zachodniopomorskie;2366515;713;866260;106;t32;1040416;113;10147;0;449692;494
ca³y kraj;50671742;20856;18927209;2115;t00;22193408;2923;205473;59;9345652;15759
