wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2208882;29815;876409;24252;t02
kujawsko-pomorskie;1419131;22225;541721;17777;t04
lubelskie;1288866;15464;532489;12277;t06
lubuskie;747018;9114;303076;6907;t08
³ódzkie;1790613;21542;714876;16519;t10
ma³opolskie;2235235;25242;857532;18786;t12
mazowieckie;4192654;48536;1628362;36496;t14
opolskie;684003;5617;288927;4312;t16
podkarpackie;1249265;11293;545034;9287;t18
podlaskie;834518;6278;363073;5100;t20
pomorskie;1804953;22155;744574;16955;t22
œl¹skie;3271738;40452;1292509;32235;t24
œwiêtokrzyskie;762803;9800;300678;7630;t26
warmiñsko-mazurskie;897510;12606;354960;9431;t28
wielkopolskie;2424016;28684;921680;20521;t30
zachodniopomorskie;1267167;14248;509633;11135;t32
ca³y kraj;27078372;323071;10775533;249620;t00
