wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2104720;30001;796194;22346;t02
kujawsko-pomorskie;1353573;21455;498847;12992;t04
lubelskie;1245275;17892;500919;12663;t06
lubuskie;715166;10855;279402;7937;t08
³ódzkie;1713312;23549;661154;16004;t10
ma³opolskie;2133110;34819;793134;22989;t12
mazowieckie;3995887;59385;1494386;41126;t14
opolskie;654028;10154;265114;8059;t16
podkarpackie;1203647;13952;507858;10715;t18
podlaskie;808332;9487;342896;7501;t20
pomorskie;1722489;28552;684205;19659;t22
œl¹skie;3126398;45671;1190835;31668;t24
œwiêtokrzyskie;730500;11461;277910;7442;t26
warmiñsko-mazurskie;859773;13858;330213;8874;t28
wielkopolskie;2303628;37890;848669;22023;t30
zachodniopomorskie;1214630;15265;472092;10442;t32
ca³y kraj;25884468;384246;9943828;262440;t00
