wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;6;0;1;0;t0;1;0;0;0;4;0
dolnoœl¹skie;4352029;618;1559250;34;t02;1800339;37;16728;1;975712;546
kujawsko-pomorskie;2939822;306;1053611;13;t04;1220280;21;11994;0;653937;272
lubelskie;2494992;217;916415;15;t06;1055157;17;13498;0;509922;185
lubuskie;1513725;113;539616;10;t08;645478;5;5400;0;323231;98
³ódzkie;3540074;353;1292251;21;t10;1466659;29;18805;19;762359;284
ma³opolskie;4544038;825;1662847;55;t12;1900789;56;14012;7;966390;707
mazowieckie;8633277;1562;3109108;111;t14;3559958;179;40933;17;1923278;1255
opolskie;1266794;111;464879;4;t16;530228;9;5043;0;266644;98
podkarpackie;2220738;188;834870;3;t18;970005;21;8463;0;407400;164
podlaskie;1518075;123;565145;10;t20;651334;23;6098;0;295498;90
pomorskie;3610199;673;1300878;36;t22;1492849;39;15044;7;801428;591
œl¹skie;6417693;1029;2311318;50;t24;2658560;63;20577;5;1427238;911
œwiêtokrzyskie;1538751;119;561573;5;t26;650371;8;6250;0;320557;106
warmiñsko-mazurskie;1888698;124;684355;16;t28;786310;9;10507;0;407526;99
wielkopolskie;5328794;736;1921210;31;t30;2233641;105;20596;17;1153347;583
zachodniopomorskie;2528817;375;899096;24;t32;1059974;27;10588;2;559159;322
ca³y kraj;54336522;7472;19676423;438;t00;22681933;648;224536;75;11753630;6311
