wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;6;0;0;0;t0;2;0;0;0;4;0
dolnoœl¹skie;4348026;930;1558911;87;t02;1800064;64;16767;5;972284;774
kujawsko-pomorskie;2937787;449;1053461;37;t04;1220161;22;11991;0;652174;390
lubelskie;2493555;211;916280;22;t06;1055019;27;13509;0;508747;162
lubuskie;1512815;218;539535;22;t08;645402;14;5395;0;322483;182
³ódzkie;3537783;544;1292079;67;t10;1466482;31;18746;8;760476;438
ma³opolskie;4539662;1070;1662555;90;t12;1900495;84;14010;17;962602;879
mazowieckie;8624422;1845;3108352;137;t14;3559148;152;40886;27;1916036;1529
opolskie;1265958;196;464804;16;t16;530137;14;5039;6;265978;160
podkarpackie;2219617;332;834778;37;t18;969844;41;8452;4;406543;250
podlaskie;1517212;163;565050;18;t20;651192;12;6095;0;294875;133
pomorskie;3606963;779;1300623;59;t22;1492604;46;15024;8;798712;666
œl¹skie;6411734;1204;2310940;82;t24;2658178;68;20556;10;1422060;1044
œwiêtokrzyskie;1537807;155;561514;18;t26;650307;11;6244;0;319742;126
warmiñsko-mazurskie;1887694;213;684262;28;t28;786250;15;10519;0;406663;170
wielkopolskie;5320349;857;1920828;83;t30;2229122;72;20547;18;1149852;684
zachodniopomorskie;2526841;473;898953;45;t32;1059832;41;10588;5;557468;382
ca³y kraj;54288231;9639;19672925;848;t00;22674239;714;224368;108;11716699;7969
