wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;17;0;7;0;t0;10;0;0;0;0;0
dolnoœl¹skie;3739841;17943;1461676;1714;t02;1722808;3154;14771;24;540586;13051
kujawsko-pomorskie;2523841;11958;983704;1260;t04;1166598;2204;10468;67;363071;8427
lubelskie;2190878;10468;866352;1745;t06;1015615;1597;12232;27;296679;7099
lubuskie;1310246;6322;503523;784;t08;616378;1103;4794;19;185551;4416
³ódzkie;3066893;15037;1214157;1828;t10;1405925;2316;16560;47;430251;10846
ma³opolskie;3905223;19716;1560442;2433;t12;1824595;3339;11355;27;508831;13917
mazowieckie;7418505;35956;2900050;3957;t14;3398684;6633;36135;167;1083636;25199
opolskie;1096614;5251;434994;616;t16;507547;966;3571;86;150502;3583
podkarpackie;1977220;8193;791499;1311;t18;934727;1517;7243;22;243751;5343
podlaskie;1345025;5935;534765;947;t20;625990;1128;5137;33;179133;3827
pomorskie;3090177;15288;1211102;1676;t22;1418444;2757;12823;131;447808;10724
œl¹skie;5532612;26480;2175507;2528;t24;2549055;4055;17024;64;791026;19833
œwiêtokrzyskie;1333949;6465;529385;827;t26;623554;1012;5564;32;175446;4594
warmiñsko-mazurskie;1609996;7831;636850;896;t28;746731;1514;9361;89;217054;5332
wielkopolskie;4459562;22479;1779785;3009;t30;2064062;4465;18230;78;597485;14927
zachodniopomorskie;2192106;10305;844252;1084;t32;1014977;1668;9686;57;323191;7496
ca³y kraj;46792705;225627;18428050;26615;t00;21635700;39428;194954;970;6534001;158614
