wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;2165;292;456;0;
dolnośląskie;299064;7171;106120;2079;t02
kujawsko-pomorskie;169709;4649;61681;1389;t04
lubelskie;199040;4463;69792;1313;t06
lubuskie;85237;1675;30109;593;t08
łódzkie;236068;4457;86639;1378;t10
małopolskie;287922;6533;100578;2191;t12
mazowieckie;545135;12223;193799;3228;t14
opolskie;89752;1879;31296;382;t16
podkarpackie;171222;3669;60259;1144;t18
podlaskie;112807;2290;37649;450;t20
pomorskie;226725;5721;80535;1661;t22
śląskie;372241;8611;129651;1736;t24
świętokrzyskie;98098;1911;34158;485;t26
warmińsko-mazurskie;120296;3530;38564;668;t28
wielkopolskie;297657;7575;100740;1385;t30
zachodniopomorskie;152438;2902;52715;960;t32
cały kraj;3465576;79551;1214741;21042;t00
