wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;27279;417;3160;0;t0
dolnoœl¹skie;1133928;7028;292974;1917;t02
kujawsko-pomorskie;697278;3326;169111;306;t04
lubelskie;724848;3065;201924;516;t06
lubuskie;368986;2071;95767;326;t08
³ódzkie;912172;6977;231836;864;t10
ma³opolskie;1111362;7797;281616;1143;t12
mazowieckie;2081958;13232;544588;3272;t14
opolskie;352649;2843;87128;1;t16
podkarpackie;707999;3934;199487;670;t18
podlaskie;452819;1651;119742;134;t20
pomorskie;913584;2506;228269;470;t22
œl¹skie;1586313;10228;375488;1624;t24
œwiêtokrzyskie;390161;1832;97294;324;t26
warmiñsko-mazurskie;473600;1231;123322;259;t28
wielkopolskie;1190308;5780;304135;1035;t30
zachodniopomorskie;638994;4894;147456;1245;t32
ca³y kraj;13764238;78812;3503297;14106;t00
