wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;116;11;18;3;t00
dolnoœl¹skie;boles³awiecki;37183;1130;10309;322;t0201
dolnoœl¹skie;dzier¿oniowski;34997;1033;10660;537;t0202
dolnoœl¹skie;g³ogowski;32087;1030;9943;430;t0203
dolnoœl¹skie;górowski;12755;174;3363;79;t0204
dolnoœl¹skie;jaworski;21820;681;6094;342;t0205
dolnoœl¹skie;jeleniogórski;29674;741;10186;505;t0206
dolnoœl¹skie;kamiennogórski;14919;455;4375;217;t0207
dolnoœl¹skie;k³odzki;69226;1476;22789;750;t0208
dolnoœl¹skie;legnicki;18871;819;4481;505;t0209
dolnoœl¹skie;lubañski;13934;389;4257;69;t0210
dolnoœl¹skie;lubiñski;75028;1625;23425;1010;t0211
dolnoœl¹skie;lwówecki;20018;708;6363;439;t0212
dolnoœl¹skie;milicki;18085;371;5852;142;t0213
dolnoœl¹skie;oleœnicki;36185;641;9323;139;t0214
dolnoœl¹skie;o³awski;28931;694;10408;377;t0215
dolnoœl¹skie;polkowicki;17609;315;3062;141;t0216
dolnoœl¹skie;strzeliñski;19228;417;6129;216;t0217
dolnoœl¹skie;œredzki;12839;198;4420;122;t0218
dolnoœl¹skie;œwidnicki;47919;1584;15380;398;t0219
dolnoœl¹skie;trzebnicki;32484;317;11311;127;t0220
dolnoœl¹skie;wa³brzyski;19094;340;6503;154;t0221
dolnoœl¹skie;wo³owski;21676;582;6532;324;t0222
dolnoœl¹skie;wroc³awski;51870;1471;15629;1090;t0223
dolnoœl¹skie;z¹bkowicki;30491;532;10232;227;t0224
dolnoœl¹skie;zgorzelecki;30165;743;9560;290;t0225
dolnoœl¹skie;z³otoryjski;18434;478;5218;213;t0226
dolnoœl¹skie;Jelenia Góra;47178;871;14838;582;t0261
dolnoœl¹skie;Legnica;45449;1066;11372;570;t0262
dolnoœl¹skie;Wroc³aw;553677;10109;154069;5199;t0264
dolnoœl¹skie;Wa³brzych;133513;1861;44401;1349;t0265
kujawsko-pomorskie;aleksandrowski;85037;1176;30656;879;t0401
kujawsko-pomorskie;brodnicki;33812;761;10103;625;t0402
kujawsko-pomorskie;bydgoski;36611;1065;9210;647;t0403
kujawsko-pomorskie;che³miñski;18927;305;5353;175;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;15046;369;4346;111;t0405
kujawsko-pomorskie;grudzi¹dzki;10947;334;2670;177;t0406
kujawsko-pomorskie;inowroc³awski;56836;1035;16442;595;t0407
kujawsko-pomorskie;lipnowski;25807;377;6806;113;t0408
kujawsko-pomorskie;mogileñski;12694;254;3373;96;t0409
kujawsko-pomorskie;nakielski;33595;702;7231;217;t0410
kujawsko-pomorskie;radziejowski;20873;314;5518;200;t0411
kujawsko-pomorskie;rypiñski;16758;291;5397;251;t0412
kujawsko-pomorskie;sêpoleñski;23724;535;6003;88;t0413
kujawsko-pomorskie;œwiecki;35734;735;9711;419;t0414
kujawsko-pomorskie;toruñski;31854;880;6312;180;t0415
kujawsko-pomorskie;tucholski;17360;504;4638;163;t0416
kujawsko-pomorskie;w¹brzeski;12484;162;3651;88;t0417
kujawsko-pomorskie;w³oc³awski;29140;796;7832;410;t0418
kujawsko-pomorskie;¿niñski;24017;590;6635;265;t0419
kujawsko-pomorskie;Bydgoszcz;223895;4101;66094;2974;t0461
kujawsko-pomorskie;Grudzi¹dz;64010;1322;18754;780;t0462
kujawsko-pomorskie;Toruñ;87843;1790;25555;1110;t0463
kujawsko-pomorskie;W³oc³awek;41949;695;10967;269;t0464
lubelskie;bialski;34114;758;10726;405;t0601
lubelskie;bi³gorajski;29779;563;10215;312;t0602
lubelskie;che³mski;19174;446;5782;139;t0603
lubelskie;hrubieszowski;22918;575;7419;299;t0604
lubelskie;janowski;16655;366;5902;187;t0605
lubelskie;krasnostawski;22018;601;6484;237;t0606
lubelskie;kraœnicki;37235;775;10255;556;t0607
lubelskie;lubartowski;30408;435;9948;234;t0608
lubelskie;lubelski;47265;835;14620;346;t0609
lubelskie;³êczyñski;23067;659;7532;404;t0610
lubelskie;³ukowski;29289;359;9510;198;t0611
lubelskie;opolski;23045;447;7079;240;t0612
lubelskie;parczewski;17145;472;5686;171;t0613
lubelskie;pu³awski;56362;1259;19681;760;t0614
lubelskie;radzyñski;16999;329;6070;203;t0615
lubelskie;rycki;29579;839;9204;502;t0616
lubelskie;œwidnicki;23730;547;7079;292;t0617
lubelskie;tomaszowski;30169;466;9069;278;t0618
lubelskie;w³odawski;20917;534;6680;355;t0619
lubelskie;zamojski;27042;693;9280;393;t0620
lubelskie;Bia³a Podlaska;38282;511;10792;398;t0661
lubelskie;Che³m;33814;605;10337;331;t0662
lubelskie;Lublin;267653;4068;90193;2728;t0663
lubelskie;Zamoœæ;50682;985;15667;419;t0664
lubuskie;gorzowski;17646;530;5727;273;t0801
lubuskie;kroœnieñski;27366;494;7794;326;t0802
lubuskie;miêdzyrzecki;37595;710;11318;453;t0803
lubuskie;nowosolski;46292;791;12976;416;t0804
lubuskie;s³ubicki;18070;490;4632;180;t0805
lubuskie;strzelecko-drezdenecki;24906;504;7279;315;t0806
lubuskie;sulêciñski;13369;484;3965;239;t0807
lubuskie;œwiebodziñski;29106;498;8747;196;t0808
lubuskie;zielonogórski;50790;852;17813;277;t0809
lubuskie;¿agañski;32819;564;7518;287;t0810
lubuskie;¿arski;55008;853;14667;648;t0811
lubuskie;wschowski;11477;275;3005;39;t0812
lubuskie;Gorzów Wielkopolski;71204;1241;21182;680;t0861
lubuskie;Zielona Góra;84215;1983;27902;757;t0862
³ódzkie;be³chatowski;34206;670;10175;316;t1001
³ódzkie;kutnowski;43844;1086;12574;550;t1002
³ódzkie;³aski;15789;361;4448;188;t1003
³ódzkie;³êczycki;24421;443;7612;298;t1004
³ódzkie;³owicki;51453;1009;15497;447;t1005
³ódzkie;³ódzki wschodni;18268;614;5201;253;t1006
³ódzkie;opoczyñski;28356;710;8258;566;t1007
³ódzkie;pabianicki;51966;1219;14646;620;t1008
³ódzkie;pajêczañski;15728;640;4494;301;t1009
³ódzkie;piotrkowski;22325;334;6515;147;t1010
³ódzkie;poddêbicki;17909;353;4780;95;t1011
³ódzkie;radomszczañski;43691;751;13040;502;t1012
³ódzkie;rawski;14172;299;4721;235;t1013
³ódzkie;sieradzki;48011;915;13660;557;t1014
³ódzkie;skierniewicki;12229;172;3937;21;t1015
³ódzkie;tomaszowski;53629;784;14864;344;t1016
³ódzkie;wieluñski;45822;1095;10779;497;t1017
³ódzkie;wieruszowski;16850;323;4960;106;t1018
³ódzkie;zduñskowolski;23358;716;7404;263;t1019
³ódzkie;zgierski;65540;1642;18099;699;t1020
³ódzkie;brzeziñski;18697;344;6214;141;t1021
³ódzkie;£ódŸ;505887;10135;154829;5690;t1061
³ódzkie;Piotrków Trybunalski;37653;616;10768;342;t1062
³ódzkie;Skierniewice;38754;653;11583;275;t1063
ma³opolskie;bocheñski;32669;623;8701;266;t1201
ma³opolskie;brzeski;32152;738;11165;368;t1202
ma³opolskie;chrzanowski;55278;1738;15108;497;t1203
ma³opolskie;d¹browski;20354;654;6215;255;t1204
