wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;65;12;12;12;t0
dolnoœl¹skie;1381390;35885;384938;15412;t02
kujawsko-pomorskie;854661;21188;226117;9477;t04
lubelskie;861669;21317;261376;10245;t06
lubuskie;468960;11357;131440;4532;t08
³ódzkie;1116171;29835;308422;12664;t10
ma³opolskie;1359990;34881;378956;13703;t12
mazowieckie;2548464;61889;730291;26490;t14
opolskie;430536;11273;110095;4063;t16
podkarpackie;844442;16437;257105;7793;t18
podlaskie;545940;10346;157068;5710;t20
pomorskie;1122858;24160;298604;9683;t22
œl¹skie;1993943;55916;544276;20604;t24
œwiêtokrzyskie;473753;12805;126952;5232;t26
warmiñsko-mazurskie;568700;14482;161680;6058;t28
wielkopolskie;1454815;38910;400943;15780;t30
zachodniopomorskie;785779;19713;208208;9182;t32
ca³y kraj;16812136;420406;4686483;176640;t00
