wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;6;0;1;0;t0;1;0;0;0;4;0
dolnoœl¹skie;4343351;1021;1558541;82;t02;1799756;62;16745;1;968309;876
kujawsko-pomorskie;2935449;591;1053223;47;t04;1220031;24;11990;4;650205;516
lubelskie;2492048;390;916072;40;t06;1054868;45;13507;15;507601;290
lubuskie;1511520;306;539403;42;t08;645302;22;5392;1;321423;241
³ódzkie;3534706;705;1291774;70;t10;1466261;59;18809;14;757862;562
ma³opolskie;4534356;1220;1662093;90;t12;1900086;81;14205;10;957972;1039
mazowieckie;8614703;2346;3107523;211;t14;3558107;242;40789;26;1908284;1867
opolskie;1264873;290;464693;52;t16;530044;25;5032;0;265104;213
podkarpackie;2218177;312;834609;48;t18;969661;34;8440;0;405467;230
podlaskie;1516307;228;564952;21;t20;651112;33;6100;3;294143;171
pomorskie;3603090;790;1300285;89;t22;1492330;69;15002;9;795473;623
œl¹skie;6404311;1502;2310345;146;t24;2657712;90;20520;11;1415734;1255
œwiêtokrzyskie;1536804;178;561413;20;t26;650219;38;6244;1;318928;119
warmiñsko-mazurskie;1886449;400;684131;38;t28;786137;29;10527;1;405654;332
wielkopolskie;5292625;1017;1920358;74;t30;2205835;86;20516;14;1145916;843
zachodniopomorskie;2524455;538;898718;39;t32;1059642;32;10575;3;555520;464
ca³y kraj;54213230;11834;19668134;1109;t00;22647104;971;224393;113;11673599;9641
