wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;30409;465;2827;0;
dolnośląskie;997766;3954;254364;713;t02
kujawsko-pomorskie;600217;2802;144344;17;t04
lubelskie;643656;1781;175141;93;t06
lubuskie;314744;1682;78651;288;t08
łódzkie;780002;3672;197530;477;t10
małopolskie;968887;3456;240206;403;t12
mazowieckie;1835064;9766;459445;2754;t14
opolskie;297680;2383;76044;62;t16
podkarpackie;612410;6324;161997;2804;t18
podlaskie;390735;1936;104242;799;t20
pomorskie;780079;3101;196520;393;t22
śląskie;1360192;6439;315872;522;t24
świętokrzyskie;340024;894;83274;116;t26
warmińsko-mazurskie;415780;1080;105562;60;t28
wielkopolskie;1032003;2174;251804;353;t30
zachodniopomorskie;545311;2599;123382;5;t32
cały kraj;11944959;54508;2971205;9859;t00
