wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2844278;4887;1328937;2707;t02
kujawsko-pomorskie;1905804;3418;886294;1547;t04
lubelskie;1624688;4259;758195;2034;t06
lubuskie;964434;1800;450990;899;t08
³ódzkie;2323435;4710;1091915;2585;t10
ma³opolskie;3002187;5512;1400660;2903;t12
mazowieckie;5516492;9391;2586939;5100;t14
opolskie;838196;1479;395291;732;t16
podkarpackie;1508559;3227;705609;1618;t18
podlaskie;1006893;1785;474478;828;t20
pomorskie;2318033;4922;1091111;2379;t22
œl¹skie;4232012;7538;1979799;4014;t24
œwiêtokrzyskie;1010016;2637;468821;1498;t26
warmiñsko-mazurskie;1201412;2619;561895;1272;t28
wielkopolskie;3356897;7605;1584062;3980;t30
zachodniopomorskie;1627845;2576;756266;1162;t32
ca³y kraj;35281208;68367;16521262;35258;t00
