data;liczba_szczepien_dziennie;dawka_2_dziennie
27.12.2020;2181;0
28.12.2020;4396;0
29.12.2020;10090;0
30.12.2020;20394;1
31.12.2020;10618;0
01.01.2021;1346;1
02.01.2021;2258;0
03.01.2021;653;0
04.01.2021;40667;1
05.01.2021;55432;2
06.01.2021;18792;0
07.01.2021;30427;0
08.01.2021;11848;0
09.01.2021;2255;0
10.01.2021;997;0
11.01.2021;47572;3
12.01.2021;63532;0
13.01.2021;55138;0
14.01.2021;46644;1
15.01.2021;26291;0
16.01.2021;21039;17
17.01.2021;12092;428
18.01.2021;28471;2935
19.01.2021;49466;8163
20.01.2021;51094;14380
21.01.2021;53217;14845
22.01.2021;38148;5256
23.01.2021;16698;1356
24.01.2021;5327;557
25.01.2021;73478;29532
26.01.2021;132664;48291
27.01.2021;104092;26605
28.01.2021;89279;29480
29.01.2021;43772;16149
30.01.2021;16260;3114
31.01.2021;8690;1387
01.02.2021;57158;33206
02.02.2021;115210;57631
03.02.2021;122016;55873
04.02.2021;107391;51568
05.02.2021;52031;29553
06.02.2021;24668;15709
07.02.2021;16470;10151
08.02.2021;33153;11765
09.02.2021;90090;20412
10.02.2021;113376;44651
11.02.2021;112138;58877
12.02.2021;75944;43482
13.02.2021;35602;15150
14.02.2021;14681;4859
15.02.2021;36373;11744
16.02.2021;72000;33621
17.02.2021;155517;84622
18.02.2021;174747;93606
19.02.2021;102640;49957
20.02.2021;35533;7678
21.02.2021;15920;3613
22.02.2021;43216;4100
23.02.2021;71431;20340
24.02.2021;160056;76674
25.02.2021;174244;90323
26.02.2021;103153;45315
27.02.2021;44592;11761
28.02.2021;17775;5629
01.03.2021;46012;5625
02.03.2021;81781;21586
03.03.2021;155953;67636
04.03.2021;172976;85649
05.03.2021;107966;44500
06.03.2021;49057;11979
07.03.2021;17834;5350
08.03.2021;34167;3648
09.03.2021;63403;8365
10.03.2021;141886;42696
11.03.2021;161398;68015
12.03.2021;93692;39105
13.03.2021;28855;6663
14.03.2021;11770;3020
15.03.2021;25009;3572
16.03.2021;47037;10622
17.03.2021;132253;43317
18.03.2021;149828;64627
