wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;21;0;5;0;t0;5;0;0;0;11;0
dolnoœl¹skie;4269474;269;1543381;48;t02;1792511;23;16504;0;917078;198
kujawsko-pomorskie;2893689;103;1043812;14;t04;1215842;3;11832;0;622203;86
lubelskie;2462970;67;908988;37;t06;1051309;3;13252;0;489421;27
lubuskie;1489226;48;534155;9;t08;642803;0;5274;0;306994;39
³ódzkie;3485420;312;1280072;136;t10;1461253;59;18393;0;725702;117
ma³opolskie;4451962;302;1647914;78;t12;1892443;25;13776;0;897829;199
mazowieckie;8467485;743;3078869;212;t14;3539913;76;39549;2;1809154;453
opolskie;1246075;18;460244;1;t16;527761;1;4943;0;253127;16
podkarpackie;2192284;37;828776;10;t18;966266;3;8238;0;389004;24
podlaskie;1498323;19;560843;5;t20;648399;0;5904;0;283177;14
pomorskie;3537874;429;1286447;161;t22;1485529;51;14586;4;751312;213
œl¹skie;6295609;570;2288874;190;t24;2647449;72;20010;5;1339276;303
œwiêtokrzyskie;1517849;102;556878;36;t26;647964;13;6279;0;306728;53
warmiñsko-mazurskie;1857390;24;676709;0;t28;783103;2;10329;0;387249;22
wielkopolskie;5171705;567;1901681;158;t30;2161373;46;19844;0;1088807;363
zachodniopomorskie;2486773;107;890753;34;t32;1055612;15;10435;1;529973;57
ca³y kraj;53324129;3717;19488401;1129;t00;22519535;392;219148;12;11097045;2184
