wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;645;0;133;0;t0
dolnoœl¹skie;1900527;38241;661040;22642;t02
kujawsko-pomorskie;1207322;28716;407767;16973;t04
lubelskie;1132634;22330;421487;14224;t06
lubuskie;639437;13474;225716;9028;t08
³ódzkie;1538071;33709;541018;21211;t10
ma³opolskie;1898712;41261;652326;19729;t12
mazowieckie;3591730;68980;1237844;36787;t14
opolskie;580698;12649;205483;8733;t16
podkarpackie;1102160;17894;428330;13376;t18
podlaskie;726854;12580;278492;9199;t20
pomorskie;1536489;34808;554633;23028;t22
œl¹skie;2803733;61730;977104;38293;t24
œwiêtokrzyskie;652948;13852;225477;8180;t26
warmiñsko-mazurskie;769178;16765;273723;9725;t28
wielkopolskie;2060471;45913;711433;25892;t30
zachodniopomorskie;1098533;22772;389754;14738;t32
ca³y kraj;23240142;485674;8191760;291758;t00
