wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;65;0;12;0;t0
dolnoœl¹skie;1472579;3625;423573;2182;t02
kujawsko-pomorskie;911063;3200;248746;1362;t04
lubelskie;908259;1434;283555;783;t06
lubuskie;498595;1723;143479;372;t08
³ódzkie;1192150;3953;340284;1729;t10
ma³opolskie;1453402;5509;423109;3548;t12
mazowieckie;2745239;16532;813212;5288;t14
opolskie;453435;400;119417;118;t16
podkarpackie;893810;2746;282204;1373;t18
podlaskie;580636;2463;175708;1941;t20
pomorskie;1194007;3104;337721;2137;t22
œl¹skie;2130552;6064;607109;3850;t24
œwiêtokrzyskie;504695;1188;139725;434;t26
warmiñsko-mazurskie;598877;513;174588;74;t28
wielkopolskie;1561231;5889;446845;3901;t30
zachodniopomorskie;842517;4243;233013;2397;t32
ca³y kraj;17941112;62586;5192300;31489;t00
