wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;16;16;0;0;t0
dolnoœl¹skie;2461423;8984;1064421;6608;t02
kujawsko-pomorskie;1593304;6604;665074;5083;t04
lubelskie;1411139;3971;621520;2245;t06
lubuskie;832317;2163;367061;1401;t08
³ódzkie;1993682;5218;865135;3732;t10
ma³opolskie;2510737;11215;1053929;8642;t12
mazowieckie;4714683;20858;2017116;16515;t14
opolskie;746774;2160;336519;1296;t16
podkarpackie;1343174;3523;613580;2140;t18
podlaskie;901959;1632;412211;979;t20
pomorskie;1990410;8903;869844;6465;t22
œl¹skie;3647911;13587;1569917;9526;t24
œwiêtokrzyskie;848793;2313;361312;1473;t26
warmiñsko-mazurskie;1001078;4052;426457;3032;t28
wielkopolskie;2753067;12606;1149259;10009;t30
zachodniopomorskie;1398143;5765;605824;4382;t32
ca³y kraj;30148610;113570;12999179;83528;t00
