wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;1993899;7627;717580;4824;t02
kujawsko-pomorskie;1271911;4599;445084;2250;t04
lubelskie;1179489;2116;453475;1289;t06
lubuskie;674508;2399;248603;1608;t08
³ódzkie;1619080;6927;593777;4522;t10
ma³opolskie;2017774;11102;717948;5439;t12
mazowieckie;3781873;20092;1351987;10905;t14
opolskie;616187;3915;235011;3282;t16
podkarpackie;1149446;2593;465121;2042;t18
podlaskie;764472;1603;308264;1028;t20
pomorskie;1620438;3999;610699;1950;t22
œl¹skie;2959674;13135;1077073;8311;t24
œwiêtokrzyskie;688244;2166;247888;1124;t26
warmiñsko-mazurskie;808964;2110;297505;1021;t28
wielkopolskie;2170837;7000;769081;2298;t30
zachodniopomorskie;1153505;5479;428135;4208;t32
ca³y kraj;24470301;96862;8967231;56101;t00
