"Kod";"Nazwa";"ogółem;2021;[zł]";
1809000;"Powiat lubaczowski";2004344,00;
1810000;"Powiat łańcucki";4776619,92;
1811000;"Powiat mielecki";5504386,87;
1812000;"Powiat niżański";9753419,45;
1813000;"Powiat przemyski";23556,80;
1814000;"Powiat przeworski";5679819,49;
1815000;"Powiat ropczycko-sędziszowski";3743623,67;
1816000;"Powiat rzeszowski";12653524,88;
1817000;"Powiat sanocki";3876461,00;
1818000;"Powiat stalowowolski";8339610,92;
1819000;"Powiat strzyżowski";3411159,60;
1820000;"Powiat tarnobrzeski";7307111,80;
1821000;"Powiat leski";4493395,69;
2001000;"Powiat augustowski";3269479,25;
2002000;"Powiat białostocki";18297289,29;
2003000;"Powiat bielski";1182046,73;
2004000;"Powiat grajewski";2194898,37;
2005000;"Powiat hajnowski";1653464,09;
2006000;"Powiat kolneński";2744047,54;
2007000;"Powiat łomżyński";2741829,68;
2008000;"Powiat moniecki";1581826,16;
2009000;"Powiat sejneński";1089767,74;
2010000;"Powiat siemiatycki";2506184,26;
2011000;"Powiat sokólski";2799919,85;
2012000;"Powiat suwalski";2130538,13;
2013000;"Powiat wysokomazowiecki";9787543,78;
2014000;"Powiat zambrowski";4517086,27;
2201000;"Powiat bytowski";2860962,75;
2202000;"Powiat chojnicki";4988891,07;
2203000;"Powiat człuchowski";5448016,44;
2204000;"Powiat gdański";497921,57;
2205000;"Powiat kartuski";6816819,95;
2206000;"Powiat kościerski";2559910,00;
2207000;"Powiat kwidzyński";2602208,60;
2208000;"Powiat lęborski";3691556,14;
2209000;"Powiat malborski";1794750,80;
2210000;"Powiat nowodworski";1465266,67;
2211000;"Powiat pucki";6573110,79;
2212000;"Powiat słupski";5066224,10;
2213000;"Powiat starogardzki";19569631,32;
2214000;"Powiat tczewski";3955756,30;
2215000;"Powiat wejherowski";4068746,40;
2216000;"Powiat sztumski";826645,60;
2401000;"Powiat będziński";3531074,08;
2402000;"Powiat bielski";1077933,46;
2403000;"Powiat cieszyński";3364596,16;
2404000;"Powiat częstochowski";105966,82;
2405000;"Powiat gliwicki";12706953,50;
2406000;"Powiat kłobucki";2444754,89;
2407000;"Powiat lubliniecki";2057712,69;
2408000;"Powiat mikołowski";3006970,89;
2409000;"Powiat myszkowski";6298059,01;
2410000;"Powiat pszczyński";5145709,06;
2411000;"Powiat raciborski";2353829,83;
2412000;"Powiat rybnicki";8649,00;
2413000;"Powiat tarnogórski";10741293,34;
2414000;"Powiat bieruńsko-lędziński";24000,00;
2415000;"Powiat wodzisławski";5702325,82;
2416000;"Powiat zawierciański";3540030,31;
2417000;"Powiat żywiecki";7534373,62;
2601000;"Powiat buski";2706897,64;
2602000;"Powiat jędrzejowski";5271075,92;
2603000;"Powiat kazimierski";10680427,24;
2604000;"Powiat kielecki";10052862,08;
2605000;"Powiat konecki";7858422,75;
2606000;"Powiat opatowski";8322326,66;
2607000;"Powiat ostrowiecki";17710266,08;
2608000;"Powiat pińczowski";2563781,12;
2609000;"Powiat sandomierski";3632344,93;
2610000;"Powiat skarżyski";4860425,66;
2611000;"Powiat starachowicki";3570916,18;
2612000;"Powiat staszowski";2608237,24;
2613000;"Powiat włoszczowski";5326266,63;
2801000;"Powiat bartoszycki";3375567,90;
2802000;"Powiat braniewski";4311356,02;
2803000;"Powiat działdowski";6066067,51;
2804000;"Powiat elbląski";2240416,64;
2805000;"Powiat ełcki";3267865,09;
2806000;"Powiat giżycki";4410810,72;
2807000;"Powiat iławski";1465472,34;
2808000;"Powiat kętrzyński";4299802,20;
2809000;"Powiat lidzbarski";1693445,76;
2810000;"Powiat mrągowski";1654288,42;
2811000;"Powiat nidzicki";5902413,40;
2812000;"Powiat nowomiejski";2779545,84;
2813000;"Powiat olecki";1698087,31;
2814000;"Powiat olsztyński";4391663,75;
2815000;"Powiat ostródzki";3310333,26;
2816000;"Powiat piski";6775680,57;
2817000;"Powiat szczycieński";8923359,71;
2818000;"Powiat gołdapski";732734,65;
2819000;"Powiat węgorzewski";868586,96;
3001000;"Powiat chodzieski";1913686,49;
3002000;"Powiat czarnkowsko-trzcianecki";4191348,79;
3003000;"Powiat gnieźnieński";7167856,85;
3004000;"Powiat gostyński";1988318,78;
3005000;"Powiat grodziski";3832597,42;
3006000;"Powiat jarociński";3659485,09;
3007000;"Powiat kaliski";861378,95;
3008000;"Powiat kępiński";767684,65;
3009000;"Powiat kolski";4285739,04;
3010000;"Powiat koniński";6280342,78;
3011000;"Powiat kościański";2165927,98;
3012000;"Powiat krotoszyński";4333514,67;
3013000;"Powiat leszczyński";8000,00;
3014000;"Powiat międzychodzki";3239866,64;
3015000;"Powiat nowotomyski";1429236,43;
3016000;"Powiat obornicki";1649666,16;
3017000;"Powiat ostrowski";23059060,88;
3018000;"Powiat ostrzeszowski";1345178,87;
3019000;"Powiat pilski";5956566,53;
3020000;"Powiat pleszewski";5768324,05;
3021000;"Powiat poznański";17535391,14;
3022000;"Powiat rawicki";954864,65;
3023000;"Powiat słupecki";3403676,67;
3024000;"Powiat szamotulski";1946028,97;
3025000;"Powiat średzki";5539357,69;
3026000;"Powiat śremski";1383679,93;
3027000;"Powiat turecki";3181243,80;
3028000;"Powiat wągrowiecki";19374155,64;
3029000;"Powiat wolsztyński";1492074,84;
3030000;"Powiat wrzesiński";5304909,92;
3031000;"Powiat złotowski";2425072,90;
3201000;"Powiat białogardzki";8361290,70;
3202000;"Powiat choszczeński";2255351,82;
3203000;"Powiat drawski";2474487,82;
3204000;"Powiat goleniowski";2801010,41;
3205000;"Powiat gryficki";1439674,42;
3206000;"Powiat gryfiński";6389797,92;
3207000;"Powiat kamieński";3052927,22;
3208000;"Powiat kołobrzeski";1280703,86;
3209000;"Powiat koszaliński";5979717,65;
3210000;"Powiat myśliborski";2592798,04;
3211000;"Powiat policki";1593840,84;
3212000;"Powiat pyrzycki";2908766,98;
3213000;"Powiat sławieński";3136399,88;
3214000;"Powiat stargardzki";3723906,01;
3215000;"Powiat szczecinecki";10467088,01;
3216000;"Powiat świdwiński";3435428,79;
3217000;"Powiat wałecki";1810233,82;
3218000;"Powiat łobeski";1685744,52;
