"Kod";"Nazwa";"uczestnicy imprez;ogółem;2021;[osoba]";
1418000;"Powiat piaseczyński";107467;
1419000;"Powiat płocki";20601;
1420000;"Powiat płoński";14412;
1421000;"Powiat pruszkowski";27108;
1422000;"Powiat przasnyski";10808;
1423000;"Powiat przysuski";4769;
1424000;"Powiat pułtuski";16474;
1425000;"Powiat radomski";25305;
1426000;"Powiat siedlecki";33131;
1427000;"Powiat sierpecki";18578;
1428000;"Powiat sochaczewski";22955;
1429000;"Powiat sokołowski";16652;
1430000;"Powiat szydłowiecki";6680;
1432000;"Powiat warszawski zachodni";72108;
1433000;"Powiat węgrowski";17284;
1434000;"Powiat wołomiński";76854;
1435000;"Powiat wyszkowski";22220;
1436000;"Powiat zwoleński";9280;
1437000;"Powiat żuromiński";3352;
1438000;"Powiat żyrardowski";11455;
1461000;"Powiat m.Ostrołęka";12508;
1462000;"Powiat m.Płock";26195;
1463000;"Powiat m.Radom";42620;
1464000;"Powiat m.Siedlce";90187;
1465000;"Powiat m. st. Warszawa";1485673;
1600000;"OPOLSKIE";263808;
1601000;"Powiat brzeski";19603;
1602000;"Powiat głubczycki";20074;
1603000;"Powiat kędzierzyńsko-kozielski";15698;
1604000;"Powiat kluczborski";12385;
1605000;"Powiat krapkowicki";16731;
1606000;"Powiat namysłowski";28183;
1607000;"Powiat nyski";22393;
1608000;"Powiat oleski";21030;
1609000;"Powiat opolski";24844;
1610000;"Powiat prudnicki";49544;
1611000;"Powiat strzelecki";27923;
1661000;"Powiat m.Opole";5400;
1800000;"PODKARPACKIE";980927;
1801000;"Powiat bieszczadzki";10680;
1802000;"Powiat brzozowski";8545;
1803000;"Powiat dębicki";45861;
1804000;"Powiat jarosławski";48522;
1805000;"Powiat jasielski";17886;
1806000;"Powiat kolbuszowski";22803;
1807000;"Powiat krośnieński";52278;
1808000;"Powiat leżajski";42224;
1809000;"Powiat lubaczowski";39863;
1810000;"Powiat łańcucki";60927;
1811000;"Powiat mielecki";65963;
1812000;"Powiat niżański";25088;
1813000;"Powiat przemyski";32959;
1814000;"Powiat przeworski";22332;
1815000;"Powiat ropczycko-sędziszowski";39282;
1816000;"Powiat rzeszowski";89639;
1817000;"Powiat sanocki";50087;
1818000;"Powiat stalowowolski";22652;
1819000;"Powiat strzyżowski";15215;
1820000;"Powiat tarnobrzeski";21035;
1821000;"Powiat leski";36867;
1861000;"Powiat m.Krosno";50592;
1862000;"Powiat m.Przemyśl";26642;
1863000;"Powiat m.Rzeszów";106085;
1864000;"Powiat m.Tarnobrzeg";26900;
2000000;"PODLASKIE";650716;
2001000;"Powiat augustowski";41908;
2002000;"Powiat białostocki";90558;
2003000;"Powiat bielski";41532;
2004000;"Powiat grajewski";26222;
2005000;"Powiat hajnowski";47305;
2006000;"Powiat kolneński";16970;
2007000;"Powiat łomżyński";12022;
2008000;"Powiat moniecki";16363;
2009000;"Powiat sejneński";35881;
2010000;"Powiat siemiatycki";69525;
2011000;"Powiat sokólski";55160;
2012000;"Powiat suwalski";11591;
2013000;"Powiat wysokomazowiecki";25578;
2014000;"Powiat zambrowski";19374;
2061000;"Powiat m.Białystok";65451;
2062000;"Powiat m.Łomża";26083;
2063000;"Powiat m.Suwałki";49193;
2200000;"POMORSKIE";940012;
2201000;"Powiat bytowski";25904;
2202000;"Powiat chojnicki";72480;
2203000;"Powiat człuchowski";21378;
2204000;"Powiat gdański";45678;
2205000;"Powiat kartuski";42580;
2206000;"Powiat kościerski";28318;
2207000;"Powiat kwidzyński";31701;
2208000;"Powiat lęborski";11341;
2209000;"Powiat malborski";19045;
2210000;"Powiat nowodworski";10575;
2211000;"Powiat pucki";93261;
2212000;"Powiat słupski";50482;
2213000;"Powiat starogardzki";109190;
2214000;"Powiat tczewski";40880;
2215000;"Powiat wejherowski";125893;
2216000;"Powiat sztumski";32362;
2261000;"Powiat m.Gdańsk";140781;
2262000;"Powiat m.Gdynia";15686;
2263000;"Powiat m.Słupsk";22477;
2400000;"ŚLĄSKIE";2054163;
2401000;"Powiat będziński";34458;
2402000;"Powiat bielski";87389;
2403000;"Powiat cieszyński";173230;
2404000;"Powiat częstochowski";24703;
2405000;"Powiat gliwicki";32135;
2406000;"Powiat kłobucki";16704;
2407000;"Powiat lubliniecki";33868;
2408000;"Powiat mikołowski";24223;
2409000;"Powiat myszkowski";13831;
2410000;"Powiat pszczyński";46218;
2411000;"Powiat raciborski";49722;
2412000;"Powiat rybnicki";20312;
2413000;"Powiat tarnogórski";47743;
2414000;"Powiat bieruńsko-lędziński";14393;
2415000;"Powiat wodzisławski";48313;
2416000;"Powiat zawierciański";35001;
2417000;"Powiat żywiecki";87573;
2461000;"Powiat m.Bielsko-Biała";162798;
2462000;"Powiat m.Bytom";63458;
2463000;"Powiat m.Chorzów";155732;
2464000;"Powiat m.Częstochowa";7086;
2465000;"Powiat m.Dąbrowa Górnicza";35673;
2467000;"Powiat m.Jastrzębie-Zdrój";14901;
2468000;"Powiat m.Jaworzno";41896;
2469000;"Powiat m.Katowice";241207;
2470000;"Powiat m.Mysłowice";24514;
2471000;"Powiat m.Piekary Śląskie";21934;
2472000;"Powiat m.Ruda Śląska";18792;
2473000;"Powiat m.Rybnik";86824;
2474000;"Powiat m.Siemianowice Śląskie";27631;
2475000;"Powiat m.Sosnowiec";30334;
2476000;"Powiat m.Świętochłowice";18002;
2477000;"Powiat m.Tychy";264117;
2478000;"Powiat m.Zabrze";24891;
2479000;"Powiat m.Żory";24557;
2600000;"ŚWIĘTOKRZYSKIE";767645;
2601000;"Powiat buski";325481;
2602000;"Powiat jędrzejowski";25661;
2603000;"Powiat kazimierski";1810;
2604000;"Powiat kielecki";47630;
2605000;"Powiat konecki";8614;
2606000;"Powiat opatowski";11450;
2607000;"Powiat ostrowiecki";15780;
2608000;"Powiat pińczowski";12273;
2609000;"Powiat sandomierski";26603;
2610000;"Powiat skarżyski";23812;
2611000;"Powiat starachowicki";26047;
2612000;"Powiat staszowski";53273;
2613000;"Powiat włoszczowski";12755;
2661000;"Powiat m.Kielce";176456;
2800000;"WARMIŃSKO-MAZURSKIE";1030571;
2801000;"Powiat bartoszycki";41965;
2802000;"Powiat braniewski";4436;
2803000;"Powiat działdowski";23781;
2804000;"Powiat elbląski";7933;
2805000;"Powiat ełcki";58011;
2806000;"Powiat giżycki";28210;
2807000;"Powiat iławski";106414;
2808000;"Powiat kętrzyński";50130;
2809000;"Powiat lidzbarski";16868;
2810000;"Powiat mrągowski";152372;
2811000;"Powiat nidzicki";10663;
2812000;"Powiat nowomiejski";45422;
2813000;"Powiat olecki";17929;
2814000;"Powiat olsztyński";59693;
2815000;"Powiat ostródzki";73701;
2816000;"Powiat piski";72246;
2817000;"Powiat szczycieński";146750;
2818000;"Powiat gołdapski";20512;
2819000;"Powiat węgorzewski";10190;
2861000;"Powiat m.Elbląg";23548;
2862000;"Powiat m.Olsztyn";59797;
3000000;"WIELKOPOLSKIE";1179650;
3001000;"Powiat chodzieski";17971;
3002000;"Powiat czarnkowsko-trzcianecki";26345;
3003000;"Powiat gnieźnieński";51983;
3004000;"Powiat gostyński";36262;
3005000;"Powiat grodziski";39024;
3006000;"Powiat jarociński";10530;
3007000;"Powiat kaliski";12403;
3008000;"Powiat kępiński";13790;
3009000;"Powiat kolski";9820;
3010000;"Powiat koniński";32418;
3011000;"Powiat kościański";29818;
3012000;"Powiat krotoszyński";13674;
3013000;"Powiat leszczyński";41479;
3014000;"Powiat międzychodzki";11437;
3015000;"Powiat nowotomyski";33614;
3016000;"Powiat obornicki";9347;
3017000;"Powiat ostrowski";23964;
3018000;"Powiat ostrzeszowski";25015;
3019000;"Powiat pilski";65896;
3020000;"Powiat pleszewski";19710;
3021000;"Powiat poznański";114387;
3022000;"Powiat rawicki";54086;
3023000;"Powiat słupecki";8460;
3024000;"Powiat szamotulski";17897;
3025000;"Powiat średzki";21256;
3026000;"Powiat śremski";6485;
3027000;"Powiat turecki";29407;
3028000;"Powiat wągrowiecki";22735;
3029000;"Powiat wolsztyński";23070;
3030000;"Powiat wrzesiński";21245;
3031000;"Powiat złotowski";24814;
3061000;"Powiat m.Kalisz";29140;
3062000;"Powiat m.Konin";66563;
3063000;"Powiat m.Leszno";20631;
