"Kod";"Nazwa";"lekarze (personel pracujący ogółem) na 10 tys. ludności;2020;[osoba]";
1410000;"Powiat łosicki";48,8;
1411000;"Powiat makowski";32,0;
1412000;"Powiat miński";32,7;
1413000;"Powiat mławski";26,2;
1414000;"Powiat nowodworski";48,6;
1415000;"Powiat ostrołęcki";6,0;
1416000;"Powiat ostrowski";35,0;
1417000;"Powiat otwocki";79,6;
1418000;"Powiat piaseczyński";74,7;
1419000;"Powiat płocki";8,2;
1420000;"Powiat płoński";38,1;
1421000;"Powiat pruszkowski";50,1;
1422000;"Powiat przasnyski";28,4;
1423000;"Powiat przysuski";24,8;
1424000;"Powiat pułtuski";34,0;
1425000;"Powiat radomski";17,2;
1426000;"Powiat siedlecki";4,5;
1427000;"Powiat sierpecki";24,6;
1428000;"Powiat sochaczewski";38,8;
1429000;"Powiat sokołowski";29,8;
1430000;"Powiat szydłowiecki";21,4;
1432000;"Powiat warszawski zachodni";43,1;
1433000;"Powiat węgrowski";17,6;
1434000;"Powiat wołomiński";36,3;
1435000;"Powiat wyszkowski";27,9;
1436000;"Powiat zwoleński";29,8;
1437000;"Powiat żuromiński";20,7;
1438000;"Powiat żyrardowski";29,5;
1461000;"Powiat m.Ostrołęka";84,0;
1462000;"Powiat m.Płock";103,2;
1463000;"Powiat m.Radom";78,1;
1464000;"Powiat m.Siedlce";142,1;
1465000;"Powiat m. st. Warszawa";152,4;
1600000;"OPOLSKIE";42,9;
1601000;"Powiat brzeski";26,1;
1602000;"Powiat głubczycki";26,4;
1603000;"Powiat kędzierzyńsko-kozielski";40,4;
1604000;"Powiat kluczborski";31,7;
1605000;"Powiat krapkowicki";29,0;
1606000;"Powiat namysłowski";16,9;
1607000;"Powiat nyski";33,1;
1608000;"Powiat oleski";29,0;
1609000;"Powiat opolski";18,5;
1610000;"Powiat prudnicki";18,3;
1611000;"Powiat strzelecki";40,2;
1661000;"Powiat m.Opole";136,7;
1800000;"PODKARPACKIE";47,9;
1801000;"Powiat bieszczadzki";34,4;
1802000;"Powiat brzozowski";41,1;
1803000;"Powiat dębicki";22,1;
1804000;"Powiat jarosławski";36,9;
1805000;"Powiat jasielski";32,4;
1806000;"Powiat kolbuszowski";26,6;
1807000;"Powiat krośnieński";29,3;
1808000;"Powiat leżajski";30,0;
1809000;"Powiat lubaczowski";31,6;
1810000;"Powiat łańcucki";32,7;
1811000;"Powiat mielecki";34,2;
1812000;"Powiat niżański";21,4;
1813000;"Powiat przemyski";11,8;
1814000;"Powiat przeworski";21,8;
1815000;"Powiat ropczycko-sędziszowski";18,2;
1816000;"Powiat rzeszowski";21,7;
1817000;"Powiat sanocki";39,2;
1818000;"Powiat stalowowolski";36,8;
1819000;"Powiat strzyżowski";24,4;
1820000;"Powiat tarnobrzeski";33,2;
1821000;"Powiat leski";34,1;
1861000;"Powiat m.Krosno";106,0;
1862000;"Powiat m.Przemyśl";81,0;
1863000;"Powiat m.Rzeszów";190,2;
1864000;"Powiat m.Tarnobrzeg";67,3;
2000000;"PODLASKIE";54,2;
2001000;"Powiat augustowski";23,1;
2002000;"Powiat białostocki";23,5;
2003000;"Powiat bielski";39,1;
2004000;"Powiat grajewski";34,0;
2005000;"Powiat hajnowski";36,7;
2006000;"Powiat kolneński";27,7;
2007000;"Powiat łomżyński";1,2;
2008000;"Powiat moniecki";23,7;
2009000;"Powiat sejneński";33,0;
2010000;"Powiat siemiatycki";19,9;
2011000;"Powiat sokólski";24,6;
2012000;"Powiat suwalski";3,4;
2013000;"Powiat wysokomazowiecki";28,7;
2014000;"Powiat zambrowski";68,3;
2061000;"Powiat m.Białystok";124,3;
2062000;"Powiat m.Łomża";54,0;
2063000;"Powiat m.Suwałki";47,8;
2200000;"POMORSKIE";51,8;
2201000;"Powiat bytowski";22,5;
2202000;"Powiat chojnicki";40,4;
2203000;"Powiat człuchowski";18,6;
2204000;"Powiat gdański";18,3;
2205000;"Powiat kartuski";31,1;
2206000;"Powiat kościerski";49,2;
2207000;"Powiat kwidzyński";17,0;
2208000;"Powiat lęborski";12,4;
2209000;"Powiat malborski";42,6;
2210000;"Powiat nowodworski";13,0;
2211000;"Powiat pucki";28,4;
2212000;"Powiat słupski";9,2;
2213000;"Powiat starogardzki";25,7;
2214000;"Powiat tczewski";37,1;
2215000;"Powiat wejherowski";34,0;
2216000;"Powiat sztumski";39,4;
2261000;"Powiat m.Gdańsk";106,5;
2262000;"Powiat m.Gdynia";77,7;
2263000;"Powiat m.Słupsk";69,8;
2264000;"Powiat m.Sopot";105,1;
2400000;"ŚLĄSKIE";68,0;
2401000;"Powiat będziński";41,0;
2402000;"Powiat bielski";26,6;
2403000;"Powiat cieszyński";47,2;
2404000;"Powiat częstochowski";32,8;
2405000;"Powiat gliwicki";48,6;
2406000;"Powiat kłobucki";20,8;
2407000;"Powiat lubliniecki";46,9;
2408000;"Powiat mikołowski";42,8;
2409000;"Powiat myszkowski";54,6;
2410000;"Powiat pszczyński";35,3;
2411000;"Powiat raciborski";32,6;
2412000;"Powiat rybnicki";10,0;
2413000;"Powiat tarnogórski";57,0;
2414000;"Powiat bieruńsko-lędziński";27,1;
2415000;"Powiat wodzisławski";31,2;
2416000;"Powiat zawierciański";28,8;
2417000;"Powiat żywiecki";25,7;
2461000;"Powiat m.Bielsko-Biała";115,5;
2462000;"Powiat m.Bytom";66,5;
2463000;"Powiat m.Chorzów";97,2;
2464000;"Powiat m.Częstochowa";97,8;
2465000;"Powiat m.Dąbrowa Górnicza";54,5;
2466000;"Powiat m.Gliwice";94,8;
2467000;"Powiat m.Jastrzębie-Zdrój";60,7;
2468000;"Powiat m.Jaworzno";60,1;
2469000;"Powiat m.Katowice";199,4;
2470000;"Powiat m.Mysłowice";49,9;
2471000;"Powiat m.Piekary Śląskie";79,9;
2472000;"Powiat m.Ruda Śląska";66,0;
2473000;"Powiat m.Rybnik";51,6;
2474000;"Powiat m.Siemianowice Śląskie";70,0;
2475000;"Powiat m.Sosnowiec";96,0;
2476000;"Powiat m.Świętochłowice";63,1;
2477000;"Powiat m.Tychy";73,5;
2478000;"Powiat m.Zabrze";94,1;
2479000;"Powiat m.Żory";46,3;
2600000;"ŚWIĘTOKRZYSKIE";53,7;
2601000;"Powiat buski";47,7;
2602000;"Powiat jędrzejowski";28,6;
2603000;"Powiat kazimierski";12,0;
2604000;"Powiat kielecki";27,7;
2605000;"Powiat konecki";40,6;
2606000;"Powiat opatowski";21,2;
2607000;"Powiat ostrowiecki";40,6;
2608000;"Powiat pińczowski";27,3;
2609000;"Powiat sandomierski";41,1;
2610000;"Powiat skarżyski";47,6;
2611000;"Powiat starachowicki";44,9;
2612000;"Powiat staszowski";41,7;
2613000;"Powiat włoszczowski";28,8;
2661000;"Powiat m.Kielce";150,4;
2800000;"WARMIŃSKO-MAZURSKIE";40,8;
2801000;"Powiat bartoszycki";24,2;
2802000;"Powiat braniewski";30,7;
2803000;"Powiat działdowski";29,3;
2804000;"Powiat elbląski";17,0;
2805000;"Powiat ełcki";35,5;
2806000;"Powiat giżycki";31,1;
2807000;"Powiat iławski";20,4;
2808000;"Powiat kętrzyński";20,7;
2809000;"Powiat lidzbarski";23,7;
2810000;"Powiat mrągowski";29,7;
2811000;"Powiat nidzicki";19,0;
2812000;"Powiat nowomiejski";27,4;
2813000;"Powiat olecki";28,8;
2814000;"Powiat olsztyński";27,4;
2815000;"Powiat ostródzki";24,7;
2816000;"Powiat piski";19,9;
2817000;"Powiat szczycieński";23,2;
2818000;"Powiat gołdapski";26,0;
2819000;"Powiat węgorzewski";23,6;
2861000;"Powiat m.Elbląg";78,3;
2862000;"Powiat m.Olsztyn";115,0;
3000000;"WIELKOPOLSKIE";37,8;
3001000;"Powiat chodzieski";14,9;
3002000;"Powiat czarnkowsko-trzcianecki";17,9;
3003000;"Powiat gnieźnieński";17,5;
3004000;"Powiat gostyński";24,7;
3005000;"Powiat grodziski";30,8;
3006000;"Powiat jarociński";18,6;
3007000;"Powiat kaliski";4,3;
3008000;"Powiat kępiński";4,6;
3009000;"Powiat kolski";14,5;
3010000;"Powiat koniński";5,5;
3011000;"Powiat kościański";36,8;
3012000;"Powiat krotoszyński";22,1;
3013000;"Powiat leszczyński";6,7;
3014000;"Powiat międzychodzki";35,8;
3015000;"Powiat nowotomyski";32,0;
3016000;"Powiat obornicki";25,9;
3017000;"Powiat ostrowski";26,8;
3018000;"Powiat ostrzeszowski";19,0;
3019000;"Powiat pilski";20,3;
3020000;"Powiat pleszewski";37,3;
3021000;"Powiat poznański";14,3;
3022000;"Powiat rawicki";23,6;
3023000;"Powiat słupecki";7,3;
3024000;"Powiat szamotulski";21,9;
3025000;"Powiat średzki";13,4;
3026000;"Powiat śremski";38,1;
3027000;"Powiat turecki";9,2;
3028000;"Powiat wągrowiecki";20,4;
3029000;"Powiat wolsztyński";29,1;
3030000;"Powiat wrzesiński";32,7;
3031000;"Powiat złotowski";15,0;
3061000;"Powiat m.Kalisz";60,7;
3062000;"Powiat m.Konin";78,9;
3063000;"Powiat m.Leszno";61,9;
3064000;"Powiat m.Poznań";119,0;
3200000;"ZACHODNIOPOMORSKIE";52,6;
3201000;"Powiat białogardzki";27,1;
3202000;"Powiat choszczeński";24,2;
3203000;"Powiat drawski";34,7;
3204000;"Powiat goleniowski";32,2;
3205000;"Powiat gryficki";35,4;
3206000;"Powiat gryfiński";23,9;
3207000;"Powiat kamieński";29,8;
3208000;"Powiat kołobrzeski";53,2;
3209000;"Powiat koszaliński";5,9;
3210000;"Powiat myśliborski";34,3;
3211000;"Powiat policki";38,6;
3212000;"Powiat pyrzycki";24,2;
3213000;"Powiat sławieński";23,7;
3214000;"Powiat stargardzki";31,8;
3215000;"Powiat szczecinecki";31,6;
3216000;"Powiat świdwiński";27,4;
3217000;"Powiat wałecki";33,4;
3218000;"Powiat łobeski";14,5;
3261000;"Powiat m.Koszalin";73,0;
3262000;"Powiat m.Szczecin";111,9;
3263000;"Powiat m.Świnoujście";45,9;
