"Kod";"Nazwa";"ogółem;2021;[osoba]";
2204000;"Powiat gdański";104;
2205000;"Powiat kartuski";100;
2206000;"Powiat kościerski";100;
2207000;"Powiat kwidzyński";102;
2208000;"Powiat lęborski";104;
2209000;"Powiat malborski";105;
2210000;"Powiat nowodworski";101;
2211000;"Powiat pucki";102;
2212000;"Powiat słupski";101;
2213000;"Powiat starogardzki";103;
2214000;"Powiat tczewski";104;
2215000;"Powiat wejherowski";102;
2216000;"Powiat sztumski";101;
2261000;"Powiat m.Gdańsk";111;
2262000;"Powiat m.Gdynia";112;
2263000;"Powiat m.Słupsk";113;
2264000;"Powiat m.Sopot";115;
2400000;"ŚLĄSKIE";108;
2401000;"Powiat będziński";110;
2402000;"Powiat bielski";105;
2403000;"Powiat cieszyński";106;
2404000;"Powiat częstochowski";104;
2405000;"Powiat gliwicki";107;
2406000;"Powiat kłobucki";103;
2407000;"Powiat lubliniecki";104;
2408000;"Powiat mikołowski";106;
2409000;"Powiat myszkowski";108;
2410000;"Powiat pszczyński";105;
2411000;"Powiat raciborski";109;
2412000;"Powiat rybnicki";103;
2413000;"Powiat tarnogórski";106;
2414000;"Powiat bieruńsko-lędziński";103;
2415000;"Powiat wodzisławski";106;
2416000;"Powiat zawierciański";107;
2417000;"Powiat żywiecki";105;
2461000;"Powiat m.Bielsko-Biała";112;
2462000;"Powiat m.Bytom";110;
2463000;"Powiat m.Chorzów";111;
2464000;"Powiat m.Częstochowa";114;
2465000;"Powiat m.Dąbrowa Górnicza";109;
2466000;"Powiat m.Gliwice";109;
2467000;"Powiat m.Jastrzębie-Zdrój";105;
2468000;"Powiat m.Jaworzno";107;
2469000;"Powiat m.Katowice";111;
2470000;"Powiat m.Mysłowice";108;
2471000;"Powiat m.Piekary Śląskie";108;
2472000;"Powiat m.Ruda Śląska";107;
2473000;"Powiat m.Rybnik";105;
2474000;"Powiat m.Siemianowice Śląskie";110;
2475000;"Powiat m.Sosnowiec";112;
2476000;"Powiat m.Świętochłowice";110;
2477000;"Powiat m.Tychy";108;
2478000;"Powiat m.Zabrze";108;
2479000;"Powiat m.Żory";105;
2600000;"ŚWIĘTOKRZYSKIE";105;
2601000;"Powiat buski";105;
2602000;"Powiat jędrzejowski";102;
2603000;"Powiat kazimierski";104;
2604000;"Powiat kielecki";101;
2605000;"Powiat konecki";103;
2606000;"Powiat opatowski";101;
2607000;"Powiat ostrowiecki";109;
2608000;"Powiat pińczowski";103;
