"","wojewodztwo_nazwa","powiat_nazwa","gmina_nazwa","zaszczepieni_pelna_dawka","przyrost_zaszczepionych_od_2021_08_01","liczba_ludnosci","zaszczepieni_pacjenci_jedna_dawka","zaszczepieni_pelna_dawka","grupa_wiekowa_12_19","grupa_wiekowa_20_39","grupa_wiekowa_40_59","grupa_wiekowa_60_69","grupa_wiekowa_70_plus"
"53","dolnośląskie","kłodzki","Polanica-Zdrój (m)","3847","12.04","6228","3931","3847","208","757","1107","748","748"
"54","dolnośląskie","kłodzki","Radków (m-w)","4211","9.86","8968","4277","4211","211","972","1259","947","947"
"55","dolnośląskie","kłodzki","Stronie Śląskie (m-w)","3876","9.92","7451","3971","3876","188","802","1162","870","870"
"56","dolnośląskie","kłodzki","Szczytna (m-w)","3564","11.47","7185","3648","3564","182","793","1083","858","858"
"57","dolnośląskie","Legnica","Legnica (m)","57111","11.91","98436","58419","57111","3431","13635","17534","10700","10700"
"58","dolnośląskie","legnicki","Chojnów (m)","7328","10.28","13236","7487","7328","362","1595","2177","1705","1705"
"59","dolnośląskie","legnicki","Chojnów (w)","4578","10.1","9517","4683","4578","300","1069","1530","931","931"
"60","dolnośląskie","legnicki","Krotoszyce (w)","1807","15","3301","1859","1807","120","456","645","345","345"
"61","dolnośląskie","legnicki","Kunice (w)","4040","11.1","7161","4104","4040","296","934","1510","731","731"
"62","dolnośląskie","legnicki","Legnickie Pole (w)","3018","11.01","5170","3092","3018","158","695","1041","594","594"
"63","dolnośląskie","legnicki","Miłkowice (w)","3657","11.52","6822","3750","3657","256","873","1237","698","698"
"64","dolnośląskie","legnicki","Prochowice (m-w)","3894","11.11","7345","3965","3894","229","880","1257","845","845"
"65","dolnośląskie","legnicki","Ruja (w)","1316","9.7","2558","1336","1316","103","285","415","270","270"
"66","dolnośląskie","lubański","Leśna (m-w)","5033","11.87","9948","5132","5033","287","1146","1582","1097","1097"
"67","dolnośląskie","lubański","Lubań (m)","12628","12.85","20723","12878","12628","660","2811","3908","2337","2337"
"68","dolnośląskie","lubański","Lubań (w)","3289","13.09","6569","3375","3289","219","880","1144","628","628"
"69","dolnośląskie","lubański","Olszyna (m-w)","3326","12.13","6472","3399","3326","189","790","1044","667","667"
"70","dolnośląskie","lubański","Platerówka (w)","797","12.03","1629","813","797","53","212","240","159","159"
