wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;8;0;2;0;t0;2;0;0;0;4;0
dolnoœl¹skie;4325714;615;1556253;53;t02;1798314;37;16875;1;954272;524
kujawsko-pomorskie;2926479;395;1051968;52;t04;1219227;27;12015;1;643269;315
lubelskie;2485995;237;915122;45;t06;1054118;30;13454;1;503301;161
lubuskie;1506789;183;538648;26;t08;644810;15;5380;3;317951;139
³ódzkie;3523975;481;1290292;71;t10;1465277;50;18708;15;749698;345
ma³opolskie;4514252;864;1659691;103;t12;1898482;63;14086;0;941993;698
mazowieckie;8577488;1596;3102441;206;t14;3553872;193;40523;15;1880652;1182
opolskie;1260976;183;464066;30;t16;529571;21;5023;0;262316;132
podkarpackie;2212538;281;833684;56;t18;968964;20;8384;0;401506;205
podlaskie;1512590;168;564345;39;t20;650562;26;6078;3;291605;100
pomorskie;3588163;557;1298417;70;t22;1490980;53;14829;1;783937;433
œl¹skie;6378156;1197;2307056;187;t24;2655622;127;20577;17;1394901;866
œwiêtokrzyskie;1532958;122;560854;25;t26;649776;4;6237;3;316091;90
warmiñsko-mazurskie;1881355;250;683329;45;t28;785706;23;10480;1;401840;181
wielkopolskie;5253789;579;1917726;92;t30;2184665;47;20235;12;1131163;428
zachodniopomorskie;2515789;326;897578;49;t32;1058855;39;10588;6;548768;232
ca³y kraj;53997014;8034;19641472;1149;t00;22608803;775;223472;79;11523267;6031
