wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;11;0;2;0;t0;5;0;0;0;4;0
dolnoœl¹skie;4076012;12424;1502719;1908;t02;1769354;1466;15358;49;788581;9001
kujawsko-pomorskie;2755752;8797;1012817;1291;t04;1199298;1206;11448;38;532189;6262
lubelskie;2365249;7860;888319;961;t06;1039416;853;12757;44;424757;6002
lubuskie;1421913;4193;519100;733;t08;633847;710;5026;23;263940;2727
³ódzkie;3334738;9834;1247013;1248;t10;1442873;1211;17351;37;627501;7338
ma³opolskie;4251863;11051;1604643;1578;t12;1870733;1321;12543;15;763944;8137
mazowieckie;8101510;23222;2996782;3586;t14;3494781;2529;37810;258;1572137;16849
opolskie;1194936;4067;448066;528;t16;521427;534;4434;21;221009;2984
podkarpackie;2118893;5126;811617;817;t18;956747;730;7574;25;342955;3554
podlaskie;1445209;3752;548936;470;t20;640890;490;5412;3;249971;2789
pomorskie;3370538;9828;1247615;1500;t22;1464373;1235;13781;46;644769;7047
œl¹skie;6027836;17199;2232151;2579;t24;2616457;2088;18736;74;1160492;12458
œwiêtokrzyskie;1449174;4995;542518;642;t26;639220;639;5826;59;261610;3655
warmiñsko-mazurskie;1759687;5950;656243;750;t28;769725;872;9591;6;324128;4322
wielkopolskie;4899442;14882;1840246;2226;t30;2129098;1994;18947;113;911151;10549
zachodniopomorskie;2379271;6586;867958;953;t32;1042023;776;10156;5;459134;4852
ca³y kraj;50952034;149766;18966745;21770;t00;22230267;18654;206750;816;9548272;108526
