wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;38494;1577;6764;556;t0
dolnoœl¹skie;1340692;27023;368770;9584;t02
kujawsko-pomorskie;827446;19282;215509;6215;t04
lubelskie;839965;15660;250998;6527;t06
lubuskie;435580;7369;123396;3128;t08
³ódzkie;1085416;22273;295473;8257;t10
ma³opolskie;1324802;24313;365207;9731;t12
mazowieckie;2476219;42490;700386;17373;t14
opolskie;418946;6588;105934;2506;t16
podkarpackie;826504;12253;248727;5582;t18
podlaskie;533616;6596;151028;2342;t20
pomorskie;1096732;23072;288317;7285;t22
œl¹skie;1936603;41489;523192;15621;t24
œwiêtokrzyskie;460797;10198;121703;3272;t26
warmiñsko-mazurskie;553559;11071;155401;4626;t28
wielkopolskie;1412420;27886;384425;10630;t30
zachodniopomorskie;764645;15045;198427;6228;t32
ca³y kraj;16372436;314185;4503657;119463;t00
