wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;14;0;0;0;t0;5;0;0;0;9;0
dolnoœl¹skie;4258503;4150;1540530;1209;t02;1791320;434;16412;8;910241;2499
kujawsko-pomorskie;2886260;2572;1041533;771;t04;1215105;246;11787;12;617835;1543
lubelskie;2457138;2018;907391;566;t06;1050621;243;13210;6;485916;1203
lubuskie;1485350;1347;532946;433;t08;642409;126;5265;6;304730;782
³ódzkie;3476678;3276;1277480;952;t10;1460204;375;18327;49;720667;1900
ma³opolskie;4439243;3791;1644698;965;t12;1891280;357;13646;33;889619;2436
mazowieckie;8446093;6630;3072736;1990;t14;3537144;718;39469;49;1796744;3873
opolskie;1242861;1191;459282;359;t16;527450;116;4929;22;251200;694
podkarpackie;2187823;1689;827574;448;t18;965698;201;8216;21;386335;1019
podlaskie;1495184;1236;559925;359;t20;647956;136;5891;17;281412;724
pomorskie;3527491;3215;1283308;915;t22;1484352;398;14524;32;745307;1870
œl¹skie;6278643;4802;2284406;1298;t24;2645663;596;19907;18;1328667;2890
œwiêtokrzyskie;1513927;1351;555716;309;t26;647567;147;6257;8;304387;887
warmiñsko-mazurskie;1851935;1959;675162;643;t28;782468;204;10279;20;384026;1092
wielkopolskie;5155577;5062;1896669;1472;t30;2159850;436;19772;36;1079286;3118
zachodniopomorskie;2480291;2044;888826;552;t32;1054902;246;10408;16;526155;1230
ca³y kraj;53183011;46333;19448182;13241;t00;22503994;4979;218299;353;11012536;27760
