wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;9573;587;1290;0;
dolnośląskie;612224;19795;179597;377;t02
kujawsko-pomorskie;360131;12097;100471;327;t04
lubelskie;413070;13763;122825;437;t06
lubuskie;188693;6924;50978;126;t08
łódzkie;478081;16750;142707;295;t10
małopolskie;585573;19134;168537;298;t12
mazowieckie;1132389;36639;325186;774;t14
opolskie;180670;5770;53136;306;t16
podkarpackie;384116;11705;110085;412;t18
podlaskie;244108;7499;72282;170;t20
pomorskie;474552;15332;142829;240;t22
śląskie;792511;31679;224208;536;t24
świętokrzyskie;207136;7214;59111;87;t26
warmińsko-mazurskie;263410;8783;73974;412;t28
wielkopolskie;622987;20083;179796;304;t30
zachodniopomorskie;314202;10994;89173;156;t32
cały kraj;7263426;244748;2096185;5257;t00
