wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;34;0;15;0;t0;11;0;0;0;8;0
dolnoœl¹skie;4254150;3430;1539254;896;t02;1790852;417;16402;43;907642;2074
kujawsko-pomorskie;2883579;2152;1040735;617;t04;1214843;207;11773;7;616228;1321
lubelskie;2455048;1968;906815;568;t06;1050365;208;13203;13;484665;1179
lubuskie;1483932;1088;532498;375;t08;642254;133;5258;0;303922;580
³ódzkie;3473205;2712;1276490;865;t10;1459802;323;18278;14;718635;1510
ma³opolskie;4435406;3332;1643714;914;t12;1890884;319;13614;9;887194;2090
mazowieckie;8438918;6322;3070589;1874;t14;3536288;611;39408;31;1792633;3806
opolskie;1241628;1039;458913;313;t16;527325;110;4906;7;250484;609
podkarpackie;2186004;1446;827096;360;t18;965463;190;8193;4;385252;892
podlaskie;1493855;1150;559538;329;t20;647802;120;5873;4;280642;697
pomorskie;3524152;2901;1282365;778;t22;1483923;343;14494;31;743370;1749
œl¹skie;6273550;5366;2283013;1466;t24;2645011;620;19891;49;1325635;3231
œwiêtokrzyskie;1512508;1340;555397;358;t26;647411;137;6249;5;303451;840
warmiñsko-mazurskie;1849653;1689;674460;557;t28;782196;111;10259;2;382738;1019
wielkopolskie;5149957;3998;1895002;1231;t30;2159287;384;19720;25;1075948;2358
zachodniopomorskie;2478155;1899;888243;554;t32;1054637;253;10391;15;524884;1077
ca³y kraj;53133734;41832;19434137;12055;t00;22498354;4486;217912;259;10983331;25032
