data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2173;0
2020-12-28;4378;0
2020-12-29;10007;0
2020-12-30;20325;1
2020-12-31;10578;0
2021-01-01;1351;3
2021-01-02;2239;0
2021-01-03;648;0
2021-01-04;40562;1
2021-01-05;55213;2
2021-01-06;18730;0
2021-01-07;30351;0
2021-01-08;11813;1
2021-01-09;2264;0
2021-01-10;994;2
2021-01-11;47529;3
2021-01-12;63303;0
2021-01-13;55006;1
2021-01-14;46409;1
2021-01-15;26171;0
2021-01-16;20931;17
2021-01-17;12059;432
2021-01-18;28231;2928
2021-01-19;49453;8099
2021-01-20;51004;14429
2021-01-21;52953;14729
2021-01-22;38154;5243
2021-01-23;16680;1360
2021-01-24;5338;556
2021-01-25;72993;29419
2021-01-26;132456;48166
2021-01-27;104088;26478
2021-01-28;89219;29362
2021-01-29;43655;16097
2021-01-30;16267;3115
2021-01-31;8682;1387
2021-02-01;57002;33251
2021-02-02;114462;57209
2021-02-03;121604;55832
2021-02-04;107059;51411
2021-02-05;51872;29497
2021-02-06;24564;15637
2021-02-07;16321;10113
2021-02-08;33079;11729
2021-02-09;89809;20151
2021-02-10;113017;44668
2021-02-11;111471;58652
2021-02-12;75584;43549
2021-02-13;35462;15096
2021-02-14;14681;4844
2021-02-15;36230;11697
2021-02-16;71568;33692
2021-02-17;153934;84803
2021-02-18;173908;94147
2021-02-19;103111;50200
2021-02-20;36012;7697
2021-02-21;16038;3605
2021-02-22;43313;4117
2021-02-23;71782;20424
2021-02-24;160814;76955
2021-02-25;174845;90564
2021-02-26;103597;45604
2021-02-27;44700;11829
2021-02-28;17980;5775
2021-03-01;46173;5404
2021-03-02;82318;21670
2021-03-03;156798;67953
2021-03-04;173921;85829
2021-03-05;108700;44615
2021-03-06;49689;12060
2021-03-07;17962;5385
2021-03-08;34593;3679
2021-03-09;63896;8465
2021-03-10;143262;42954
2021-03-11;162734;68298
2021-03-12;94976;39476
2021-03-13;29973;6730
2021-03-14;11870;3038
2021-03-15;25791;3560
2021-03-16;47796;10721
2021-03-17;133917;43848
2021-03-18;155089;66456
2021-03-19;89260;38831
2021-03-20;29755;10268
2021-03-21;10656;3078
2021-03-22;51913;3972
2021-03-23;117891;19892
2021-03-24;191968;50061
2021-03-25;216229;71662
2021-03-26;161964;40611
2021-03-27;92040;15010
2021-03-28;35720;6926
2021-03-29;80110;9869
2021-03-30;117522;16077
2021-03-31;190722;20661
2021-04-01;204810;19435
2021-04-02;152719;11275
2021-04-03;36312;2755
2021-04-04;3323;350
2021-04-05;3862;526
2021-04-06;125852;8118
2021-04-07;219957;7342
2021-04-08;258232;5822
2021-04-09;220311;4701
2021-04-10;154179;4169
2021-04-11;44550;789
2021-04-12;106142;7020
2021-04-13;186631;23279
2021-04-14;254313;53827
2021-04-15;267836;59195
2021-04-16;201191;28296
2021-04-17;140664;11952
2021-04-18;39728;4029
2021-04-19;109388;13121
2021-04-20;202815;34285
2021-04-21;282667;74429
2021-04-22;306006;79338
2021-04-23;259995;46788
2021-04-24;206015;24492
2021-04-25;55929;9276
2021-04-26;139501;30794
2021-04-27;253770;58725
2021-04-28;344959;99324
2021-04-29;387730;108899
2021-04-30;357608;74905
2021-05-01;121876;15598
2021-05-02;59339;10164
2021-05-03;47107;5526
2021-05-04;234269;63145
2021-05-05;398327;122524
2021-05-06;423581;141734
2021-05-07;378695;124572
2021-05-08;258040;63498
2021-05-09;82366;14894
2021-05-10;187581;52430
2021-05-11;320332;109680
2021-05-12;433496;180821
2021-05-13;440688;193462
2021-05-14;372855;152231
2021-05-15;276962;110500
2021-05-16;90085;29626
2021-05-17;148701;50200
2021-05-18;330209;125779
2021-05-19;444800;185821
2021-05-20;444129;201194
2021-05-21;355629;155146
2021-05-22;240666;111027
2021-05-23;67911;35587
2021-05-24;134970;76854
2021-05-25;305258;158441
2021-05-26;395833;211908
2021-05-27;385733;232058
2021-05-28;348177;202127
2021-05-29;277766;151598
2021-05-30;91734;44141
2021-05-31;167319;98448
2021-06-01;462699;269352
2021-06-02;646415;399186
2021-06-03;139283;63995
2021-06-04;423069;253748
2021-06-05;268421;119638
2021-06-06;96801;40927
2021-06-07;199299;126161
2021-06-08;394448;240072
2021-06-09;495970;298536
2021-06-10;474217;293657
2021-06-11;414658;261411
2021-06-12;311768;179576
2021-06-13;100278;58196
2021-06-14;209869;166407
2021-06-15;366054;259656
2021-06-16;423511;275962
2021-06-17;391623;266892
2021-06-18;312070;211643
2021-06-19;209353;129965
