wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;10;0;0;t0
dolnoœl¹skie;2483782;21466;1083157;18271;t02
kujawsko-pomorskie;1609637;16154;679259;14080;t04
lubelskie;1422383;10872;630462;8823;t06
lubuskie;838575;6120;372197;5072;t08
³ódzkie;2008547;14257;877764;12251;t10
ma³opolskie;2531255;20254;1070734;16737;t12
mazowieckie;4754111;36897;2049429;30915;t14
opolskie;751853;4852;340681;4066;t16
podkarpackie;1351339;7994;619577;5941;t18
podlaskie;907632;4585;416469;3499;t20
pomorskie;2004283;13497;880822;10793;t22
œl¹skie;3679952;30885;1596499;26101;t24
œwiêtokrzyskie;856283;7436;367500;6184;t26
warmiñsko-mazurskie;1009842;8573;433785;7238;t28
wielkopolskie;2779636;24841;1170958;20876;t30
zachodniopomorskie;1408737;10267;614220;8276;t32
ca³y kraj;30397872;238960;13203513;199123;t00
