wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;105;0;15;0;t0
dolnoœl¹skie;1511890;25583;443388;12383;t02
kujawsko-pomorskie;939524;19331;262344;8641;t04
lubelskie;929022;14170;294761;7129;t06
lubuskie;509386;7452;149362;4030;t08
³ódzkie;1221897;20586;355348;10758;t10
ma³opolskie;1489294;23344;440882;11900;t12
mazowieckie;2813484;42946;849641;23821;t14
opolskie;463208;6601;125577;4102;t16
podkarpackie;909939;9898;291993;6310;t18
podlaskie;593880;7752;183822;4756;t20
pomorskie;1218891;16459;351884;9400;t22
œl¹skie;2186736;38423;635963;18050;t24
œwiêtokrzyskie;517328;8973;146291;4530;t26
warmiñsko-mazurskie;613234;8935;182307;4911;t28
wielkopolskie;1602431;26626;467489;13654;t30
zachodniopomorskie;869558;14888;248648;8500;t32
ca³y kraj;18389807;291967;5429715;152875;t00
