wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;645;0;133;0;t0
dolnoœl¹skie;1828954;16720;618410;9658;t02
kujawsko-pomorskie;1154749;8014;377105;5745;t04
lubelskie;1091801;8931;394338;6448;t06
lubuskie;613617;4176;208323;3248;t08
³ódzkie;1476279;9714;502616;6744;t10
ma³opolskie;1826186;17193;615850;8811;t12
mazowieckie;3460137;33576;1169299;18406;t14
opolskie;558577;4474;190600;3247;t16
podkarpackie;1066268;8935;401227;6819;t18
podlaskie;699749;4937;258468;3939;t20
pomorskie;1472653;14666;511445;9356;t22
œl¹skie;2693489;20561;910010;13715;t24
œwiêtokrzyskie;627930;4546;210139;3142;t26
warmiñsko-mazurskie;737079;7443;254237;5816;t28
wielkopolskie;1974268;19754;664324;11241;t30
zachodniopomorskie;1058243;9673;363883;6750;t32
ca³y kraj;22340624;193313;7650407;123085;t00
