wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;6;0;1;0;t0;1;0;0;0;4;0
dolnoœl¹skie;4316731;751;1554834;144;t02;1797379;75;16828;4;947690;528
kujawsko-pomorskie;2921624;500;1051128;124;t04;1218725;55;11991;4;639780;317
lubelskie;2483081;134;914537;34;t06;1053744;14;13425;0;501375;86
lubuskie;1504158;339;538124;50;t08;644472;22;5366;0;316196;267
³ódzkie;3518058;307;1289210;63;t10;1464635;17;18654;0;745559;227
ma³opolskie;4503962;1106;1658215;243;t12;1897524;91;14019;1;934204;771
mazowieckie;8558910;1863;3099463;402;t14;3551309;163;40300;2;1867838;1296
opolskie;1258708;161;463564;19;t16;529276;9;5014;1;260854;132
podkarpackie;2209769;250;833094;55;t18;968593;34;8374;0;399708;161
podlaskie;1510619;103;563937;27;t20;650255;11;6049;0;290378;65
pomorskie;3580499;846;1297031;236;t22;1490192;106;14774;1;778502;503
œl¹skie;6365335;1020;2304880;173;t24;2654381;97;20471;16;1385603;734
œwiêtokrzyskie;1531011;180;560452;34;t26;649561;22;6233;0;314765;124
warmiñsko-mazurskie;1878416;176;682682;20;t28;785373;17;10466;0;399895;139
wielkopolskie;5228444;1186;1915902;205;t30;2168353;289;20118;1;1124071;691
zachodniopomorskie;2511220;399;896796;100;t32;1058309;39;10540;1;545575;259
ca³y kraj;53880551;9321;19623850;1929;t00;22582082;1061;222622;31;11451997;6300
