wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;7457;0;1225;0;
dolnośląskie;562220;633;177460;0;t02
kujawsko-pomorskie;329277;0;99968;0;t04
lubelskie;380308;22;121728;16;t06
lubuskie;171603;0;50228;0;t08
łódzkie;438019;65;141718;20;t10
małopolskie;539792;56;167091;0;t12
mazowieckie;1041399;917;322240;317;t14
opolskie;166925;0;52375;0;t16
podkarpackie;356276;70;108800;0;t18
podlaskie;225944;0;71405;0;t20
pomorskie;437934;43;141309;21;t22
śląskie;717650;1558;222268;28;t24
świętokrzyskie;190525;31;58750;0;t26
warmińsko-mazurskie;242542;50;72645;0;t28
wielkopolskie;571304;46;176487;0;t30
zachodniopomorskie;286209;61;88336;30;t32
cały kraj;6665384;3552;2074033;432;t00
