wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2918019;3281;1364160;1726;t02
kujawsko-pomorskie;1962606;2246;913650;1186;t04
lubelskie;1673949;2542;781641;1515;t06
lubuskie;996134;1037;464195;531;t08
³ódzkie;2391813;3030;1125722;1839;t10
ma³opolskie;3093742;3642;1447098;2049;t12
mazowieckie;5678290;6875;2666636;3687;t14
opolskie;858548;791;405039;408;t16
podkarpackie;1559217;2405;728887;1331;t18
podlaskie;1037246;1010;487820;455;t20
pomorskie;2387269;2910;1122713;1459;t22
œl¹skie;4346120;4014;2033439;2144;t24
œwiêtokrzyskie;1044921;1196;486205;706;t26
warmiñsko-mazurskie;1243185;1847;580972;1060;t28
wielkopolskie;3466839;4740;1639833;2966;t30
zachodniopomorskie;1677674;1782;780162;866;t32
ca³y kraj;36335572;43348;17028172;23928;t00
