data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2157;0
2020-12-28;4346;0
2020-12-29;9985;0
2020-12-30;20260;0
2020-12-31;10578;0
2021-01-01;1346;2
2021-01-02;2255;0
2021-01-03;641;0
2021-01-04;40448;1
2021-01-05;55146;1
2021-01-06;18692;0
2021-01-07;30280;0
2021-01-08;11786;0
2021-01-09;2254;0
2021-01-10;990;2
2021-01-11;47491;3
2021-01-12;63245;0
2021-01-13;55005;1
2021-01-14;46455;2
2021-01-15;26178;1
2021-01-16;20944;17
2021-01-17;12058;435
2021-01-18;28279;2943
2021-01-19;49346;8121
2021-01-20;51156;14476
2021-01-21;52909;14790
2021-01-22;38181;5264
2021-01-23;16849;1362
2021-01-24;5351;557
2021-01-25;73170;29539
2021-01-26;132641;48387
2021-01-27;104573;26580
2021-01-28;89402;29504
2021-01-29;43680;16130
2021-01-30;16240;3121
2021-01-31;8678;1391
2021-02-01;57082;33370
2021-02-02;114562;57480
2021-02-03;121634;56071
2021-02-04;107167;51652
2021-02-05;52037;29667
2021-02-06;24645;15722
2021-02-07;16384;10184
2021-02-08;33054;11761
2021-02-09;89671;20236
2021-02-10;113270;45091
2021-02-11;111586;58897
2021-02-12;75774;43768
2021-02-13;35619;15263
2021-02-14;14713;4880
2021-02-15;36322;11789
2021-02-16;71757;33930
2021-02-17;154862;85772
2021-02-18;174542;94918
2021-02-19;103232;50406
2021-02-20;36023;7730
2021-02-21;16049;3619
2021-02-22;43430;4141
2021-02-23;71889;20581
2021-02-24;160845;77164
2021-02-25;174906;90801
2021-02-26;103664;45728
2021-02-27;44811;11935
2021-02-28;18061;5836
2021-03-01;46152;5424
2021-03-02;82473;21828
2021-03-03;156724;68111
2021-03-04;173931;86003
2021-03-05;108723;44743
2021-03-06;49838;12095
2021-03-07;17992;5394
2021-03-08;34584;3687
2021-03-09;63879;8437
2021-03-10;143350;43102
2021-03-11;162865;68444
2021-03-12;95124;39628
2021-03-13;29976;6744
2021-03-14;11876;3043
2021-03-15;25805;3559
2021-03-16;47896;10736
2021-03-17;134033;43939
2021-03-18;155387;66753
2021-03-19;89485;39000
2021-03-20;29789;10297
2021-03-21;10658;3081
2021-03-22;51961;3982
2021-03-23;118086;19980
2021-03-24;192204;50224
2021-03-25;216669;71880
2021-03-26;162368;40754
2021-03-27;92243;15044
2021-03-28;35748;6931
2021-03-29;80161;9882
2021-03-30;117701;16119
2021-03-31;191065;20770
2021-04-01;205454;19535
2021-04-02;153246;11315
2021-04-03;36407;2762
2021-04-04;3342;352
2021-04-05;3886;528
2021-04-06;126252;8151
2021-04-07;220787;7379
2021-04-08;258693;5855
2021-04-09;220795;4708
2021-04-10;154633;4187
2021-04-11;44779;786
2021-04-12;106535;7033
2021-04-13;187005;23392
2021-04-14;254967;53932
2021-04-15;268175;59353
2021-04-16;201480;28304
2021-04-17;140856;11973
2021-04-18;39813;4037
2021-04-19;109543;13083
2021-04-20;203257;34308
2021-04-21;283305;74586
2021-04-22;306621;79521
2021-04-23;260270;46837
