wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2788508;2261;1300737;1223;t02
kujawsko-pomorskie;1861292;1938;863743;940;t04
lubelskie;1585829;1728;739954;917;t06
lubuskie;942086;891;440807;365;t08
³ódzkie;2272063;1305;1065550;537;t10
ma³opolskie;2935767;3431;1365321;2182;t12
mazowieckie;5400601;4216;2524896;2231;t14
opolskie;823149;495;388059;193;t16
podkarpackie;1473194;1204;689638;421;t18
podlaskie;985139;501;464553;234;t20
pomorskie;2266018;2538;1065260;1368;t22
œl¹skie;4153024;3040;1938278;1391;t24
œwiêtokrzyskie;982413;925;454897;500;t26
warmiñsko-mazurskie;1169841;1524;546599;740;t28
wielkopolskie;3269570;2297;1537169;1380;t30
zachodniopomorskie;1589387;1595;738131;744;t32
ca³y kraj;34497906;29889;16123592;15366;t00
