wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;18;0;3;0;t0;6;0;0;0;9;0
dolnoœl¹skie;4277250;2515;1545728;828;t02;1793283;204;16550;18;921689;1465
kujawsko-pomorskie;2898635;1378;1045217;421;t04;1216335;126;11858;12;625225;819
lubelskie;2466527;1051;910077;353;t06;1051689;91;13261;3;491500;604
lubuskie;1491709;828;534953;302;t08;643079;102;5291;3;308386;421
³ódzkie;3491048;1849;1282100;691;t10;1461815;153;18413;1;728720;1004
ma³opolskie;4459321;2558;1649668;654;t12;1893100;213;13801;10;902752;1681
mazowieckie;8481088;4153;3082614;1214;t14;3541364;404;39632;36;1817478;2499
opolskie;1248184;770;460886;274;t16;528016;83;4948;2;254334;411
podkarpackie;2195287;1066;829609;333;t18;966678;147;8248;4;390752;582
podlaskie;1500639;635;561523;185;t20;648709;78;5925;15;284482;357
pomorskie;3545042;2282;1288691;781;t22;1486256;228;14621;9;755474;1264
œl¹skie;6306203;3022;2292183;905;t24;2648538;284;20091;8;1345391;1825
œwiêtokrzyskie;1520332;856;557666;311;t26;648237;73;6293;9;308136;463
warmiñsko-mazurskie;1861444;1170;677946;346;t28;783535;108;10364;1;389599;715
wielkopolskie;5180459;2973;1904270;970;t30;2162341;228;19821;21;1094027;1754
zachodniopomorskie;2491238;1450;891960;387;t32;1056077;143;10447;4;532754;916
ca³y kraj;53414424;28556;19515094;8955;t00;22529058;2665;219564;156;11150708;16780
