wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2823558;3326;1318641;1613;t02
kujawsko-pomorskie;1890012;4473;878974;2112;t04
lubelskie;1608863;2120;751208;850;t06
lubuskie;955743;2268;447163;979;t08
³ódzkie;2303649;3689;1082534;1900;t10
ma³opolskie;2977936;5609;1388265;2927;t12
mazowieckie;5473010;7810;2565328;3972;t14
opolskie;832574;1305;392845;702;t16
podkarpackie;1494377;2014;699276;979;t18
podlaskie;998306;422;470709;126;t20
pomorskie;2298641;4633;1082280;1996;t22
œl¹skie;4202747;5533;1964790;2635;t24
œwiêtokrzyskie;999231;1696;463906;829;t26
warmiñsko-mazurskie;1188936;1523;556505;675;t28
wielkopolskie;3325298;7303;1568434;3271;t30
zachodniopomorskie;1613858;3152;750184;1406;t32
ca³y kraj;34986764;56876;16381042;26972;t00
