wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;8921;702;1290;53;
dolnośląskie;591144;17017;179189;525;t02
kujawsko-pomorskie;347363;10646;100110;100;t04
lubelskie;398757;11801;122375;409;t06
lubuskie;181257;5649;50749;196;t08
łódzkie;459564;13233;142333;257;t10
małopolskie;565376;15075;168150;330;t12
mazowieckie;1092948;31564;324327;907;t14
opolskie;174415;4386;52820;244;t16
podkarpackie;371334;8621;109619;469;t18
podlaskie;236266;5764;72106;144;t20
pomorskie;458002;11244;142448;269;t22
śląskie;758256;26042;223634;792;t24
świętokrzyskie;199542;5676;59022;144;t26
warmińsko-mazurskie;253852;6884;73548;470;t28
wielkopolskie;600752;17744;179323;1195;t30
zachodniopomorskie;301903;9206;89015;304;t32
cały kraj;6999652;201254;2090058;6808;t00
