wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;12;0;0;0;t0;5;0;0;0;7;0
dolnoœl¹skie;4231395;6051;1532735;1774;t02;1788375;668;16267;15;894018;3594
kujawsko-pomorskie;2868569;3733;1035962;1075;t04;1213281;340;11685;30;607641;2288
lubelskie;2444609;2633;903991;680;t06;1049141;302;13113;32;478364;1619
lubuskie;1476807;2063;530191;596;t08;641480;263;5211;21;299925;1183
³ódzkie;3457239;3854;1271944;1061;t10;1457992;433;18157;10;709146;2350
ma³opolskie;4410714;5221;1637144;1273;t12;1888638;456;13366;40;871566;3452
mazowieckie;8394515;10368;3057456;3250;t14;3530918;1067;39135;61;1767006;5990
opolskie;1235711;1733;457170;514;t16;526757;242;4883;48;246901;929
podkarpackie;2177622;2199;824747;583;t18;964455;267;8131;31;380289;1318
podlaskie;1487693;1458;557757;389;t20;647008;155;5788;16;277140;898
pomorskie;3504934;3955;1276916;934;t22;1481673;433;14437;39;731908;2549
œl¹skie;6243063;6283;2275105;1428;t24;2641794;657;19754;47;1306410;4151
œwiêtokrzyskie;1504849;2050;553129;566;t26;646535;185;6196;14;298989;1285
warmiñsko-mazurskie;1838768;2921;671391;610;t28;780823;342;10146;6;376408;1963
wielkopolskie;5119326;7336;1885862;2032;t30;2156274;641;19570;20;1057620;4643
zachodniopomorskie;2465735;2724;884640;729;t32;1053138;263;10335;6;517622;1726
ca³y kraj;52861561;64582;19356140;17494;t00;22468287;6714;216174;436;10820960;39938
