wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;256;88;125;87;t0
dolnoœl¹skie;1632153;23054;507809;10492;t02
kujawsko-pomorskie;1014136;14475;304207;6701;t04
lubelskie;986444;7260;329634;4648;t06
lubuskie;546764;6679;169179;2941;t08
³ódzkie;1315658;18252;406299;9365;t10
ma³opolskie;1611363;28114;508453;16269;t12
mazowieckie;3039518;49705;971291;24765;t14
opolskie;496177;4836;145674;2385;t16
podkarpackie;963815;10702;328174;7927;t18
podlaskie;631583;5081;209274;4106;t20
pomorskie;1305872;15657;401740;10091;t22
œl¹skie;2366704;34205;731745;18467;t24
œwiêtokrzyskie;557803;8113;169600;4336;t26
warmiñsko-mazurskie;658864;6472;208819;3739;t28
wielkopolskie;1739629;24959;543490;14713;t30
zachodniopomorskie;941216;13212;292207;6378;t32
ca³y kraj;19807955;270864;6227720;147410;t00
