wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;257;1;126;1;t0
dolnoœl¹skie;1698981;35923;546386;21103;t02
kujawsko-pomorskie;1055932;25693;325845;13492;t04
lubelskie;1016895;21400;347735;12692;t06
lubuskie;564040;12055;179111;6895;t08
³ódzkie;1362278;30794;432920;18645;t10
ma³opolskie;1668722;34308;539730;19193;t12
mazowieckie;3159454;65090;1029509;34840;t14
opolskie;512370;10859;156572;7115;t16
podkarpackie;990115;17169;346005;11841;t18
podlaskie;649960;11961;222151;8488;t20
pomorskie;1354032;28878;434678;20010;t22
œl¹skie;2461337;60293;781795;32749;t24
œwiêtokrzyskie;577177;14353;180511;8544;t26
warmiñsko-mazurskie;680649;14883;222382;8681;t28
wielkopolskie;1807659;39445;580522;21632;t30
zachodniopomorskie;976184;19447;313266;12102;t32
ca³y kraj;20536042;442552;6639244;258023;t00
