wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2776536;6974;1295637;4130;t02
kujawsko-pomorskie;1851774;6015;859478;3379;t04
lubelskie;1580291;4563;737687;2613;t06
lubuskie;936371;2175;439026;1225;t08
³ódzkie;2262966;7076;1061357;4531;t10
ma³opolskie;2918264;9341;1356762;5984;t12
mazowieckie;5378086;13339;2514293;8113;t14
opolskie;819108;1918;386752;1140;t16
podkarpackie;1467904;3263;687670;1713;t18
podlaskie;981942;1902;463483;1147;t20
pomorskie;2253458;6495;1060009;4277;t22
œl¹skie;4134430;10109;1929911;6151;t24
œwiêtokrzyskie;977577;3198;452564;2114;t26
warmiñsko-mazurskie;1164203;4299;543744;2341;t28
wielkopolskie;3249793;11729;1526063;7593;t30
zachodniopomorskie;1581531;4338;734500;2612;t32
ca³y kraj;34334259;96734;16048936;59063;t00
