wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;5706;56;1106;0;
dolnośląskie;497626;6867;168224;1043;t02
kujawsko-pomorskie;290898;3398;97610;334;t04
lubelskie;335719;4179;116275;888;t06
lubuskie;145818;3055;48341;293;t08
łódzkie;388098;5080;137680;379;t10
małopolskie;480196;6049;161840;575;t12
mazowieckie;910160;15674;309524;2556;t14
opolskie;147629;2356;50440;262;t16
podkarpackie;304937;7257;103395;1654;t18
podlaskie;196174;3019;66695;499;t20
pomorskie;387198;3966;133314;1099;t22
śląskie;626227;9317;212348;1676;t24
świętokrzyskie;168759;3329;57472;774;t26
warmińsko-mazurskie;211826;2657;68847;408;t28
wielkopolskie;500203;7044;167123;1584;t30
zachodniopomorskie;248637;2628;85202;320;t32
cały kraj;5845811;85931;1985436;14344;t00
