wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;12;0;4;0;t0;8;0;0;0;0;0
dolnoœl¹skie;3453347;14746;1439482;680;t02;1678968;1690;17153;129;317744;12247
kujawsko-pomorskie;2331568;12388;967563;489;t04;1135634;1314;12099;95;216272;10490
lubelskie;2034652;10588;845758;1021;t06;992136;1290;14911;140;181847;8137
lubuskie;1209610;7043;493492;432;t08;597323;1119;5275;27;113520;5465
³ódzkie;2835274;13850;1194134;763;t10;1371101;1593;19146;104;250893;11390
ma³opolskie;3628620;15520;1534264;741;t12;1776807;1840;12759;173;304790;12766
mazowieckie;6841770;33904;2848244;2029;t14;3296724;3535;40736;209;656066;28131
opolskie;1009752;5832;426385;317;t16;493379;786;4172;36;85816;4693
podkarpackie;1847497;8666;775812;555;t18;911334;1308;8124;79;152227;6724
podlaskie;1249594;6223;522207;422;t20;610094;900;5536;96;111757;4805
pomorskie;2845893;13833;1191705;625;t22;1377420;1609;14094;127;262674;11472
œl¹skie;5127058;26779;2143993;1188;t24;2488984;2725;20461;251;473620;22615
œwiêtokrzyskie;1236864;5811;519536;304;t26;609013;613;6507;108;101808;4786
warmiñsko-mazurskie;1483690;7342;623629;513;t28;724640;970;9595;61;125826;5798
wielkopolskie;4121380;19028;1746210;1024;t30;1997668;2332;21444;136;356058;15536
zachodniopomorskie;2020629;10085;829609;564;t32;987543;1219;10839;165;192638;8137
ca³y kraj;43277210;211638;18102027;11667;t00;21048776;24843;222851;1936;3903556;173192
