wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2674430;6197;1228604;3648;t02
kujawsko-pomorskie;1767367;3463;802332;1952;t04
lubelskie;1520831;3326;701940;1702;t06
lubuskie;901682;2298;418401;1317;t08
³ódzkie;2169447;3962;1000140;2095;t10
ma³opolskie;2787383;9265;1269959;6040;t12
mazowieckie;5165181;12581;2372557;8488;t14
opolskie;795044;1112;372124;546;t16
podkarpackie;1420752;2797;663558;1353;t18
podlaskie;953181;1438;447414;548;t20
pomorskie;2158391;5940;996560;3616;t22
œl¹skie;3978795;6951;1828254;4014;t24
œwiêtokrzyskie;932542;2066;423313;1118;t26
warmiñsko-mazurskie;1107593;2484;507698;1423;t28
wielkopolskie;3075208;9922;1402014;6910;t30
zachodniopomorskie;1515560;3719;691179;2297;t32
ca³y kraj;32923412;77521;15126047;47067;t00
