wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;55;30;0;0;t0
dolnoœl¹skie;2532302;18606;1121794;13808;t02
kujawsko-pomorskie;1649957;18051;712778;14524;t04
lubelskie;1448125;10987;650199;7998;t06
lubuskie;852344;5580;382939;4144;t08
³ódzkie;2046996;15455;908383;11566;t10
ma³opolskie;2586798;25007;1116564;20482;t12
mazowieckie;4855069;41379;2132357;33809;t14
opolskie;763028;3896;349699;3230;t16
podkarpackie;1370016;7770;632793;5300;t18
podlaskie;920683;4239;426209;3041;t20
pomorskie;2038789;15466;908588;11956;t22
œl¹skie;3756369;31625;1660550;25821;t24
œwiêtokrzyskie;874454;8020;381020;5711;t26
warmiñsko-mazurskie;1035512;11391;454069;8764;t28
wielkopolskie;2840283;24259;1217779;17919;t30
zachodniopomorskie;1433730;10683;632871;7693;t32
ca³y kraj;31004510;252444;13688592;195766;t00
