data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2199;0
2020-12-28;4319;0
2020-12-29;10112;1
2020-12-30;20479;0
2020-12-31;10630;1
2021-01-01;1351;0
2021-01-02;2289;0
2021-01-03;657;1
2021-01-04;40809;12
2021-01-05;55596;6
2021-01-06;18824;1
2021-01-07;30455;0
2021-01-08;11852;0
2021-01-09;2263;1
2021-01-10;999;0
2021-01-11;47904;230
2021-01-12;63613;3
2021-01-13;55257;1
2021-01-14;46622;2
2021-01-15;26063;1
2021-01-16;20965;19
2021-01-17;12082;432
2021-01-18;28255;2926
2021-01-19;49157;8149
2021-01-20;50563;14353
2021-01-21;53102;14951
2021-01-22;38086;5300
2021-01-23;16721;1366
2021-01-24;5276;558
2021-01-25;72022;29549
2021-01-26;130577;48081
2021-01-27;102422;26334
2021-01-28;87488;29238
2021-01-29;41826;15975
2021-01-30;15008;3106
2021-01-31;7328;1386
2021-02-01;55056;32959
2021-02-02;111292;56470
2021-02-03;118081;55000
2021-02-04;103432;50398
2021-02-05;49705;29099
2021-02-06;23132;15584
2021-02-07;14928;9843
2021-02-08;31464;11609
2021-02-09;86219;20006
2021-02-10;107631;40970
