wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2853274;2453;1333239;1167;t02
kujawsko-pomorskie;1912885;2563;889479;743;t04
lubelskie;1629685;1138;760789;594;t06
lubuskie;968682;1692;452693;637;t08
³ódzkie;2331336;2321;1096022;1050;t10
ma³opolskie;3014235;4592;1406708;2289;t12
mazowieckie;5535526;6272;2596388;2957;t14
opolskie;840591;596;396509;312;t16
podkarpackie;1514580;1766;708570;755;t18
podlaskie;1010427;712;475978;192;t20
pomorskie;2326440;3218;1095107;1354;t22
œl¹skie;4245396;3356;1986667;1452;t24
œwiêtokrzyskie;1014640;1482;471022;628;t26
warmiñsko-mazurskie;1206198;962;563888;411;t28
wielkopolskie;3371555;3851;1591485;1731;t30
zachodniopomorskie;1634255;1764;759472;620;t32
ca³y kraj;35409730;38738;16584016;16892;t00
