wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;17;0;4;0;t0;9;0;0;0;4;0
dolnoœl¹skie;4344551;1088;1558633;85;t02;1799844;86;16756;13;969318;904
kujawsko-pomorskie;2936014;491;1053275;46;t04;1220065;28;11980;3;650694;414
lubelskie;2492408;343;916124;51;t06;1054903;32;13509;2;507872;258
lubuskie;1511793;225;539418;14;t08;645325;23;5393;1;321657;187
³ódzkie;3535423;582;1291830;48;t10;1466318;51;18802;4;758473;479
ma³opolskie;4535453;1044;1662189;93;t12;1900171;80;14144;5;958949;866
mazowieckie;8616705;1847;3107686;161;t14;3558304;173;40825;46;1909890;1467
opolskie;1265060;172;464707;13;t16;530063;17;5033;2;265257;140
podkarpackie;2218483;282;834642;31;t18;969712;39;8443;7;405686;205
podlaskie;1516536;207;564980;24;t20;651128;15;6097;0;294331;168
pomorskie;3603912;765;1300360;73;t22;1492408;77;15016;16;796128;599
œl¹skie;6406068;1651;2310470;118;t24;2657827;105;20524;17;1417247;1411
œwiêtokrzyskie;1537099;279;561454;34;t26;650254;32;6246;2;319145;211
warmiñsko-mazurskie;1886770;269;684158;25;t28;786168;28;10528;5;405916;211
wielkopolskie;5295122;1592;1920485;107;t30;2207250;650;20528;15;1146859;820
zachodniopomorskie;2525017;510;898780;58;t32;1059675;31;10583;10;555979;411
ca³y kraj;54226431;11347;19669195;981;t00;22649424;1467;224407;148;11683405;8751
