data;liczba_szczepien_dziennie;dawka_2_dziennie;dawka_1_dziennie;dawka_3_dziennie;dawka_przypomianjaca_dziennie
2020-12-27;2166;0;2166;0;0
2020-12-28;4381;0;4381;0;0
2020-12-29;10019;0;10019;0;0
2020-12-30;20306;0;20306;0;0
2020-12-31;10602;0;10601;1;0
2021-01-01;1351;2;1349;0;0
2021-01-02;2259;0;2259;0;0
2021-01-03;640;0;640;0;0
2021-01-04;40575;1;40574;0;0
2021-01-05;55284;1;55283;0;0
2021-01-06;18744;0;18744;0;0
2021-01-07;30332;0;30332;0;0
2021-01-08;11815;0;11815;0;0
2021-01-09;2261;0;2261;0;0
2021-01-10;992;2;989;1;0
2021-01-11;47581;3;47578;0;0
2021-01-12;63366;0;63366;0;0
2021-01-13;55126;1;55125;0;0
2021-01-14;46540;2;46538;0;0
2021-01-15;26247;1;26246;0;0
2021-01-16;20984;17;20967;0;0
2021-01-17;12072;435;11637;0;0
2021-01-18;28308;2948;25358;2;0
2021-01-19;49435;8127;41308;0;0
2021-01-20;51213;14490;36723;0;0
2021-01-21;53011;14801;38210;0;0
2021-01-22;38197;5265;32932;0;0
2021-01-23;16868;1362;15506;0;0
2021-01-24;5363;557;4806;0;0
2021-01-25;73291;29567;43724;0;0
2021-01-26;132925;48417;84507;1;0
2021-01-27;104789;26614;78175;0;0
2021-01-28;89537;29528;60009;0;0
2021-01-29;43734;16138;27596;0;0
2021-01-30;16264;3125;13139;0;0
2021-01-31;8688;1395;7293;0;0
2021-02-01;57133;33384;23749;0;0
2021-02-02;114719;57531;57188;0;0
2021-02-03;121859;56120;65739;0;0
2021-02-04;107331;51699;55632;0;0
2021-02-05;52100;29703;22397;0;0
2021-02-06;24691;15746;8945;0;0
2021-02-07;16395;10190;6205;0;0
2021-02-08;33120;11779;21341;0;0
2021-02-09;89794;20266;69527;1;0
2021-02-10;113421;45122;68299;0;0
2021-02-11;111924;59107;52817;0;0
2021-02-12;75884;43820;32064;0;0
2021-02-13;35678;15305;20373;0;0
2021-02-14;14726;4883;9843;0;0
2021-02-15;36350;11801;24549;0;0
2021-02-16;71862;34026;37836;0;0
2021-02-17;155200;86007;69191;2;0
2021-02-18;174870;95139;79731;0;0
2021-02-19;103325;50468;52857;0;0
2021-02-20;36015;7739;28276;0;0
2021-02-21;16064;3636;12428;0;0
2021-02-22;43426;4160;39266;0;0
2021-02-23;71936;20613;51323;0;0
2021-02-24;161021;77234;83787;0;0
2021-02-25;175113;90896;84217;0;0
2021-02-26;103734;45787;57947;0;0
2021-02-27;44795;11950;32845;0;0
2021-02-28;18062;5848;12214;0;0
2021-03-01;46133;5430;40703;0;0
2021-03-02;82513;21858;60655;0;0
2021-03-03;156872;68193;88676;3;0
2021-03-04;174093;86089;88004;0;0
2021-03-05;108794;44793;64000;1;0
2021-03-06;49830;12103;37727;0;0
2021-03-07;18019;5402;12617;0;0
2021-03-08;34556;3692;30864;0;0
2021-03-09;63873;8447;55426;0;0
2021-03-10;143403;43152;100251;0;0
2021-03-11;162967;68527;94439;1;0
2021-03-12;95146;39676;55470;0;0
2021-03-13;29974;6749;23225;0;0
2021-03-14;11880;3044;8836;0;0
2021-03-15;25798;3561;22237;0;0
2021-03-16;47888;10756;37132;0;0
2021-03-17;134004;43998;90006;0;0
2021-03-18;155360;66817;88543;0;0
2021-03-19;89497;39071;50425;1;0
2021-03-20;29792;10315;19477;0;0
2021-03-21;10654;3084;7570;0;0
2021-03-22;51881;3987;47893;1;0
2021-03-23;117965;20033;97932;0;0
2021-03-24;192043;50283;141760;0;0
2021-03-25;216535;71988;144547;0;0
2021-03-26;162311;40826;121485;0;0
2021-03-27;92107;15054;77053;0;0
2021-03-28;35728;6942;28786;0;0
2021-03-29;80104;9901;70203;0;0
2021-03-30;117557;16148;101409;0;0
2021-03-31;190811;20811;170000;0;0
2021-04-01;205250;19581;185669;0;0
2021-04-02;153052;11337;141715;0;0
2021-04-03;36398;2770;33628;0;0
2021-04-04;3352;362;2990;0;0
2021-04-05;3898;531;3367;0;0
2021-04-06;126135;8174;117961;0;0
2021-04-07;220563;7415;213148;0;0
2021-04-08;258277;5870;252407;0;0
2021-04-09;220576;4722;215854;0;0
2021-04-10;154449;4210;150239;0;0
2021-04-11;44728;792;43936;0;0
2021-04-12;106409;7047;99362;0;0
2021-04-13;186774;23434;163340;0;0
2021-04-14;254814;54014;200800;0;0
2021-04-15;267971;59441;208530;0;0
2021-04-16;201261;28355;172906;0;0
2021-04-17;140662;11996;128666;0;0
2021-04-18;39786;4054;35732;0;0
2021-04-19;109379;13119;96260;0;0
2021-04-20;203055;34373;168682;0;0
2021-04-21;283136;74704;208432;0;0
2021-04-22;306454;79651;226803;0;0
2021-04-23;260071;46955;213116;0;0
2021-04-24;205937;24549;181388;0;0
2021-04-25;56042;9303;46739;0;0
2021-04-26;139761;30963;108798;0;0
2021-04-27;253997;58887;195109;1;0
2021-04-28;345435;99706;245728;1;0
2021-04-29;388231;109247;278984;0;0
2021-04-30;357931;75276;282654;1;0
2021-05-01;121855;15607;106247;1;0
2021-05-02;59447;10217;49230;0;0
2021-05-03;47121;5564;41557;0;0
2021-05-04;234654;63378;171276;0;0
2021-05-05;399381;123030;276351;0;0
2021-05-06;424440;142162;282278;0;0
2021-05-07;379552;125079;254473;0;0
2021-05-08;258646;63766;194880;0;0
2021-05-09;82437;14883;67554;0;0
2021-05-10;188733;52668;136065;0;0
2021-05-11;321389;110028;211361;0;0
2021-05-12;434714;181367;253347;0;0
2021-05-13;442102;194134;247968;0;0
2021-05-14;374029;152664;221365;0;0
2021-05-15;278166;110897;167269;0;0
2021-05-16;90368;29713;60655;0;0
2021-05-17;149275;50338;98937;0;0
2021-05-18;331611;126062;205548;1;0
2021-05-19;446494;186298;260196;0;0
2021-05-20;445898;201543;244355;0;0
2021-05-21;357204;155621;201583;0;0
2021-05-22;241366;111280;130086;0;0
2021-05-23;68163;35688;32475;0;0
2021-05-24;135720;77012;58708;0;0
2021-05-25;306403;158534;147869;0;0
2021-05-26;397718;212601;185117;0;0
2021-05-27;387483;232596;154887;0;0
2021-05-28;350110;202736;147373;1;0
2021-05-29;278740;152096;126644;0;0
2021-05-30;91912;44230;47682;0;0
2021-05-31;167807;98718;69089;0;0
2021-06-01;467408;270927;196480;1;0
2021-06-02;653180;402021;251159;0;0
2021-06-03;141217;64753;76464;0;0
2021-06-04;431602;257503;174099;0;0
2021-06-05;272081;120615;151466;0;0
2021-06-06;99143;41038;58105;0;0
2021-06-07;203537;127954;75583;0;0
2021-06-08;401613;243362;158251;0;0
2021-06-09;508159;303613;204546;0;0
2021-06-10;485693;298486;187207;0;0
2021-06-11;426053;266900;159153;0;0
2021-06-12;319012;182476;136536;0;0
2021-06-13;102787;58913;43874;0;0
2021-06-14;214360;168701;45659;0;0
2021-06-15;375681;264839;110842;0;0
2021-06-16;434425;281107;153318;0;0
2021-06-17;403220;272908;130312;0;0
2021-06-18;326652;221022;105630;0;0
2021-06-19;220802;135965;84837;0;0
2021-06-20;66576;43820;22756;0;0
2021-06-21;169021;137740;31281;0;0
2021-06-22;342158;262679;79479;0;0
2021-06-23;401153;292066;109087;0;0
2021-06-24;381625;283431;98194;0;0
2021-06-25;310249;234089;76160;0;0
2021-06-26;203457;134473;68984;0;0
2021-06-27;61042;42231;18811;0;0
2021-06-28;146574;115239;31335;0;0
2021-06-29;288901;217969;70932;0;0
2021-06-30;357701;255055;102646;0;0
2021-07-01;300059;220411;79648;0;0
2021-07-02;244080;175554;68526;0;0
2021-07-03;172786;119415;53371;0;0
2021-07-04;50634;34041;16593;0;0
2021-07-05;118929;86757;32172;0;0
2021-07-06;251409;207762;43647;0;0
2021-07-07;341832;283510;58322;0;0
2021-07-08;264253;203255;60997;1;0
2021-07-09;256494;197591;58903;0;0
2021-07-10;209976;167690;42286;0;0
2021-07-11;63081;48732;14349;0;0
2021-07-12;115403;82514;32889;0;0
2021-07-13;216852;172869;43983;0;0
2021-07-14;286877;227268;59609;0;0
2021-07-15;257688;195359;62329;0;0
2021-07-16;209974;150692;59281;1;0
2021-07-17;157945;114166;43779;0;0
2021-07-18;41846;25867;15979;0;0
2021-07-19;84073;50934;33139;0;0
